# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — Development Center Salary (V) Table (2015-2016)
# population: Development Center staff (Pay Scale Group V) | is_teacher_schedule: False
# validation_warnings: duplicate step_labels: ['']; cross_grid_contamination: a value column matches a column in a different schedule (p395) — one grid's data may be contaminated from another; verify | audit confirmed
step,1,2,3,4,5
Minimum of 60 Semester Units,34116,35392,36872,38077,39832
,3289.50,3400.83,3511.19,3628.57,3785.63
Minimum Plus 14 Points,35392,36872,38077,39474,41180
,3289.50,3400.83,3511.19,3628.57,3785.63
Minimum Plus 28 Points,36872,38077,39474,40810,42504
,3289.50,3400.83,3511.19,3628.57,3785.63
Bachelor's Degree,38077,39474,40810,42134,43924
,3289.50,3400.83,3511.19,3628.57,3785.63
BA + Restricted Severely Handicapped Credential,39474,40810,42134,43543,45428
,3289.50,3400.83,3511.19,3628.57,3785.63
