# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2016-2017 PREPARATION SALARY (L) TABLE (2016-2017)
"# population: employees who hold a Bachelor's degree and alternative certification (i.e., emergency, intern), not regular credentials. | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,1,2,3,4,5,6,7,8,9,10,11,12,13,14
20 (Minimum) C Basis,43913,43913,43913,44676,46979,47468,48936,50583,52910,55260,,,,
20 (Minimum) B Basis,47572,47572,47572,48399,50894,51424,53014,54798,57319,59865,,,,
20 (Minimum) A Basis,56208,56208,56208,57186,60133,60759,62638,64746,67724,70733,,,,
21 (+14 points) C Basis,43913,43913,44294,46036,47862,49640,51525,53387,55213,57683,,,,
21 (+14 points) B Basis,47572,47572,47985,49873,51851,53777,55819,57836,59814,62490,,,,
21 (+14 points) A Basis,56208,56208,56697,58927,61264,63539,65953,68335,70672,73834,,,,
22 (+28 points) C Basis,43913,44294,46108,48161,50106,52158,54115,56215,58184,60678,,,,
22 (+28 points) B Basis,47572,47985,49950,52174,54281,56505,58624,60900,63033,65735,,,,
22 (+28 points) A Basis,56208,56697,59018,61646,64135,66762,69267,71955,74476,77668,,,,
23 (+42 points) C Basis,44294,46072,48161,50249,52492,54652,56800,58924,61084,63900,,,,
23 (+42 points) B Basis,47985,49912,52174,54436,56867,59206,61533,63834,66174,69225,,,,
23 (+42 points) A Basis,56697,58973,61646,64318,67190,69954,72704,75422,78187,81792,,,,
24 (+56 points) C Basis,46072,47838,50106,52492,54747,57098,59425,61680,64091,67014,,,,
24 (+56 points) B Basis,49912,51825,54281,56867,59310,61856,64377,66820,69432,72599,,,,
24 (+56 points) A Basis,58973,61233,64135,67190,70077,73086,76064,78951,82036,85778,,,,
25 (+70 points) C Basis,47671,49676,52206,54652,57110,59604,62098,64508,67002,70188,,,,
25 (+70 points) B Basis,51644,53816,56556,59206,61869,64571,67273,69884,72586,76037,,,,
25 (+70 points) A Basis,61019,63585,66823,69954,73101,76293,79485,82571,85763,89841,,,,
26 (+84 points) C Basis,49569,51525,54127,56800,59425,62110,64687,67277,69950,73315,,,,
26 (+84 points) B Basis,53699,55819,58637,61533,64377,67286,70078,72883,75779,79424,,,,
26 (+84 points) A Basis,63448,65953,69282,72704,76064,79501,82800,86114,89536,93843,,,,
27 (+98 points) C Basis,51012,53387,56215,58924,61704,64544,67289,70093,72873,76549,,,,
27 (+98 points) B Basis,55263,57836,60900,63834,66846,69923,72896,75934,78946,82928,,,,
27 (+98 points) A Basis,65296,68335,71955,75422,78981,82616,86129,89719,93278,97982,,,,
(continued) C Basis,,,,,,,,,,,76906,77241,77575,77921
27 B Basis,,,,,,,,,,,83315,83677,84039,84414
(+98 points) A Basis,,,,,,,,,,,98440,98868,99296,99739
