# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2016-2017 PREPARATION SALARY (L) TABLE (Continued) / (L) Salary Table (2016-2017)
# population: Preparation Salary Table employees | is_teacher_schedule: True
"# validation_warnings: duplicate step_labels: ['A Basis', 'B Basis', 'C Basis'] | audit confirmed"
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,Base,MA Degree,DR Degree
C Basis (6 hour),,584,1168
C Basis (8 hour),,584,1168
B Basis (6 hour),,632,1265
B Basis (8 hour),,632,1265
E Basis (6 hour),,670,1339
E Basis (8 hour),,670,1339
A Basis,105558,106305,107052
C Basis,82467,83051,83635
B Basis,89339,89971,90604
A Basis,105558,106305,107052
C Basis,82467,83051,83635
B Basis,89339,89971,90604
A Basis,105558,106305,107052
C Basis,82467,83051,83635
B Basis,89339,89971,90604
A Basis,105558,106305,107052
C Basis,82467,83051,83635
B Basis,89339,89971,90604
A Basis,105558,106305,107052
