# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2016‐2017 SPECIAL SERVICES SALARY (D) TABLE (2016-2017)
# population: Special Services personnel | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
step,1,2,3,4,5
10D E basis,43307,45716,48194,50876,53531
10D B basis,40901,43176,45516,48050,50559
10D C basis,37755,39855,42015,44354,46669
11D E basis,44526,47016,49536,52191,55038
11D B basis,42052,44405,46783,49291,51980
11D C basis,38817,40989,43185,45500,47981
12D E basis,45716,48194,50876,53531,56571
12D B basis,43176,45516,48050,50559,53428
12D C basis,39855,42015,44354,46669,49318
13D E basis,47016,49536,52191,55038,58186
13D B basis,44405,46783,49291,51980,54954
13D C basis,40989,43185,45500,47981,50726
14D E basis,48194,50876,53531,56571,59746
14D B basis,45516,48050,50559,53428,56427
14D C basis,42015,44354,46669,49318,52086
15D E basis,49536,52191,55038,58186,61362
15D B basis,46783,49291,51980,54954,57952
15D C basis,43185,45500,47981,50726,53495
16D E basis,50876,53531,56571,59746,63073
16D B basis,48050,50559,53428,56427,59568
16D C basis,44354,46669,49318,52086,54987
17D E basis,52191,55038,58186,61362,64852
17D B basis,49291,51980,54954,57952,61249
17D C basis,45500,47981,50726,53495,56538
18D E basis,53531,56571,59746,63073,66645
18D B basis,50559,53428,56427,59568,62942
18D C basis,46669,49318,52086,54987,58101
19D E basis,55038,58186,61362,64852,68396
19D B basis,51980,54954,57952,61249,64597
19D C basis,47981,50726,53495,56538,59628
