# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2016‐2017 SPECIAL SERVICES SALARY (D) TABLE (Continued) (2016-2017)
# population: Special services personnel (Pay Scale Group D) | is_teacher_schedule: False
# validation_warnings: cross_grid_duplicate: cell values are ~identical to a different schedule (2015-2016 SPECIAL SERVICES SALARY (D) TABLE (Continued) p387) — distinct schedules should not share a value grid; verify each against its own page; cross_grid_contamination: a value column matches a column in a different schedule (p387) — one grid's data may be contaminated from another; verify | audit corrected this table
step,1,2,3,4,5
20D E basis,56571,59746,63073,66645,70326
20B basis,53428,56427,59568,62942,66420
20C basis,49318,52086,54987,58101,61311
21D E basis,58186,61362,64852,68396,72284
21B basis,54954,57952,61249,64597,68268
21C basis,50726,53495,56538,59628,63017
22D E basis,59746,63073,66645,70326,74474
22B basis,56427,59568,62942,66420,70337
22C basis,52086,54987,58101,61311,64926
23D E basis,61279,64674,68287,72175,76390
23B basis,57875,61080,64493,68165,72146
23C basis,53422,56382,59533,62922,66596
23A Basis,68350,72136,76166,80502,85204
28D E basis,67863,71723,75692,79909,84384
28B basis,64093,67738,71488,75469,79695
28C basis,59163,62528,65988,69664,73566
29D E basis,69848,73721,77772,82125,86684
29B basis,65967,69625,73452,77563,81868
29C basis,60893,64269,67801,71596,75570
30D E basis,71723,75692,79909,84384,89161
30B basis,67738,71488,75469,79695,84208
30C basis,62528,65988,69664,73566,77730
31D E basis,73721,77772,82125,86684,91680
31B basis,69625,73452,77563,81868,86586
31C basis,64269,67801,71596,75570,79926
32D E basis,75692,79909,84384,89161,94239
32B basis,71488,75469,79695,84208,89003
32C basis,65988,69664,73566,77730,82157
33D A basis,86746,91541,96655,102258,108029
33E basis,77772,82070,86656,91680,96853
33B basis,73452,77511,81842,86586,91472
33C basis,67801,71548,75546,79926,84436
