# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2016‐2017 SPECIAL SERVICES SALARY (D) TABLE (Continued) (2016-2017)
# population: Special Services staff | is_teacher_schedule: False
"# validation_warnings: duplicate step_labels: ['B basis', 'C basis', 'E basis'] | audit confirmed"
step,1,2,3,4,5
34D A basis,89128,94120,99449,105112,110868
E basis,94239,99399,105202,110991,117330
B basis,89003,93877,99358,104825,110812
C basis,73566,77730,82157,86655,91715
35D A basis,91601,96686,102258,108059,114059
E basis,94239,99399,105202,110991,117330
B basis,89003,93877,99358,104825,110812
36D A basis,94120,99449,105112,110868,117341
E basis,94239,99399,105202,110991,117330
B basis,89003,93877,99358,104825,110812
C basis,73566,77730,82157,86655,91715
37D A basis,96686,102258,108059,114059,120563
E basis,94239,99399,105202,110991,117330
B basis,89003,93877,99358,104825,110812
38D A basis,99449,105112,110868,117341,123799
E basis,94239,99399,105202,110991,117330
B basis,89003,93877,99358,104825,110812
39D A basis,102258,108059,114059,120563,127311
E basis,94239,99399,105202,110991,117330
B basis,89003,93877,99358,104825,110812
40D A basis,105112,110868,117341,123799,130868
E basis,94239,99399,105202,110991,117330
B basis,89003,93877,99358,104825,110812
