# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — Degree Differentials (2016-2017)
# population: Preparation Salary (T) | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,MA Degree,DR Degree
C Basis (6 hour),584,"1,168"
C Basis (6 hour) (Hourly),0.47696,0.95402
C Basis (8 hour),584,"1,168"
C Basis (8 hour) (Hourly),0.35772,0.71552
B Basis (6 hour),632,"1,265"
B Basis (6 hour) (Hourly),0.47696,0.95402
B Basis (8 hour),632,"1,265"
B Basis (8 hour) (Hourly),0.35772,0.71552
E Basis (6 hour),670,"1,339"
E Basis (6 hour) (Hourly),0.47696,0.95402
E Basis (8 hour),670,"1,339"
E Basis (8 hour) (Hourly),0.35772,0.71552
A Basis,747,"1,494"
A Basis (Hourly),0.35772,0.71552
