# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — Maximum Rates With Career Increments (2016-2017)
# population: Preparation Salary (T) | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,Base Salary,MA Degree,DR Degree
First Career Increment (completed 27T14)* C Basis,"82,801","83,385","83,969"
First Career Increment (completed 27T14)* C Basis (Hourly),"6,900.10",,
First Career Increment (completed 27T14)* B Basis,"89,701","90,333","90,966"
First Career Increment (completed 27T14)* B Basis (Hourly),"7,475.11",,
First Career Increment (completed 27T14)* A Basis,"105,985","106,732","107,479"
First Career Increment (completed 27T14)* A Basis (Hourly),"8,832.12",,
Second Career Increment (after 5 yrs on first C. I.) C Basis,"83,434","84,018","84,602"
Second Career Increment (after 5 yrs on first C. I.) C Basis (Hourly),"6,952.81",,
Second Career Increment (after 5 yrs on first C. I.) B Basis,"90,387","91,019","91,652"
Second Career Increment (after 5 yrs on first C. I.) B Basis (Hourly),"7,532.21",,
Second Career Increment (after 5 yrs on first C. I.) A Basis,"106,795","107,542","108,289"
Second Career Increment (after 5 yrs on first C. I.) A Basis (Hourly),"8,899.60",,
Third Career Increment (after 5 yrs on second C. I.) C Basis,"85,641","86,225","86,809"
Third Career Increment (after 5 yrs on second C. I.) C Basis (Hourly),"7,136.77",,
Third Career Increment (after 5 yrs on second C. I.) B Basis,"92,778","93,410","94,043"
Third Career Increment (after 5 yrs on second C. I.) B Basis (Hourly),"7,731.50",,
Third Career Increment (after 5 yrs on second C. I.) A Basis,"109,621","110,368","111,115"
Third Career Increment (after 5 yrs on second C. I.) A Basis (Hourly),"9,135.06",,
Fourth Career Increment (after 5 yrs on third C. I.) C Basis,"87,085","87,669","88,253"
Fourth Career Increment (after 5 yrs on third C. I.) C Basis (Hourly),"7,257.10",,
Fourth Career Increment (after 5 yrs on third C. I.) B Basis,"94,342","94,974","95,607"
Fourth Career Increment (after 5 yrs on third C. I.) B Basis (Hourly),"7,861.84",,
Fourth Career Increment (after 5 yrs on third C. I.) A Basis,"111,469","112,216","112,963"
Fourth Career Increment (after 5 yrs on third C. I.) A Basis (Hourly),"9,289.08",,
