document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,4,"In addition to salary benefits, as provided in Appendix D, the Board shall provide compensatory benefits.",the Board,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,benefits,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,4,"These benefits, as implemented by resolution, policies, rules, directives and memoranda in effect on the date this Agreement is executed, shall not be changed, modified, or repealed during the term of this Contract without mutual consent of the parties.",These benefits,management,worker,shall,True,passive,plain,prohibition,prohibition,True,1.0,benefits,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,5,"neither party shall be compelled to agree to a proposal or be required to make a concession, unless otherwise provided in this part.",neither party,other,management,shall,True,passive,obligation_verb,right,right,True,1.0,other,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,7,all employees in M-DCPS shall implement and carry out the provisions of all collective bargaining agreements entered into by the Board.,all employees in M-DCPS,worker,management,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,7,"The Board and the Superintendent of Schools, hereinafter referred to as the Superintendent, have the constitutional and statutory authority, respectively, for the operation of the M-DCPS in addressing the educational needs of the community.","The Board and the Superintendent of Schools, hereinafter referred to as the Superintendent",management,management,,False,active,plain,other,other,True,0.0,other,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,7,"Titles of the Articles herein shall not in and of themselves affect the meaning, construction, or effect of any of the sections or provisions of this Contract.",Titles of the Articles herein,other,management,shall,True,active,plain,prohibition,prohibition,True,1.0,other,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,7,"All references to the Federal and State Constitution(s), with respect to constitutional employee rights, Florida State Statutes, State Department of Education and State Board Rules, Public Employees Relations Commission Rules, rulings and decisions, are incorporated and made a part of this Contract.","All references to the Federal and State Constitution(s), with respect to constitutional employee rights, Florida State Statutes, State Department of Education and State Board Rules, Public Employees Relations Commission Rules, rulings and decisions",other,worker,,False,passive,plain,other,other,True,0.0,other,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,7,"the same shall not affect the remaining provisions of the contract, except in the circumstances of Article I, Section 9, Paragraph 4.",the same,other,management,shall,True,active,plain,prohibition,prohibition,True,1.0,other,True,Operative clause from severability section
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,8,"The Board agrees to comply with all state statutes affecting education and with all State Department of Education and State Board Rules and other state agency rules which affect education, and accepts the rules as minimum standards.",The Board,management,worker,,False,active,plain,other,other,True,0.0,other,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,8,"If any changed provision of this collective bargaining contract, which results from any reopener or renegotiations or impasse resolution procedures, is in conflict with any law, rule, or regulation over which the Board has amendatory power, the Board shall amend the law, rule, or regulation to conform to the new provisions of this Contract.",the Board,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,8,"If any provision of the collective bargaining contract is in conflict with any law, ordinance, rule, or regulation over which the chief executive officer has no amendatory power, the chief executive officer shall submit to the appropriate governmental body having amendatory power a proposed amendment to such law, ordinance, rule, or regulation.",the chief executive officer,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,8,"Unless and until such amendment is enacted or adopted and becomes effective, the conflicting provision of the collective bargaining contract shall not become effective.",the conflicting provision of the collective bargaining contract,other,management,shall,True,active,plain,prohibition,prohibition,True,1.0,other,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,8,"In accordance with Florida Statutes, Chapter 447, and the Public Documents Law, collective bargaining data and related materials shall be provided to the Union upon request in reasonable quantities, as available.",collective bargaining data and related materials,management,worker,shall,False,passive,rights_passive,right,obligation,False,1.0,other,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,8,"The Union agrees to maintain its eligibility to represent all employees, continuing to admit persons to membership without discrimination on the basis of race, religion, color, national origin, gender, disability, age or marital status, sexual orientation, or linguistic preference and to represent equally, in collective bargaining, all employees without regard to membership or participation in, or association with, the activities of the Union.",The Union,worker,worker,,False,active,plain,other,obligation,False,0.0,teacher_rights_and_conduct,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,8,"The Board agrees to continue its policy of not discriminating against any employee on the basis of race, religion, color, national origin, gender, marital status, sexual orientation, linguistic preference, disability, age, or membership or participation in, or association with, the activities of the Union.",The Board,management,worker,,False,active,plain,other,obligation,False,0.0,teacher_rights_and_conduct,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,9,Complaints regarding sexual orientation or linguistic preference are not subject to the grievance/arbitration process.,Complaints regarding sexual orientation or linguistic preference,other,management,,True,active,plain,prohibition,prohibition,True,0.0,discipline,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,9,"Such complaints may be addressed through the appropriate School Board Policies, federal agencies, and/or the court system.",Such complaints,other,worker,may,False,passive,plain,permission,permission,True,0.3,discipline,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,9,employees affected by consolidation or any other administrative reorganization will be assigned in the areas of work and at the same levels in which they are engaged,employees affected by consolidation or any other administrative reorganization,management,worker,will,False,passive,plain,obligation,obligation,True,0.9,transfers,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,9,employees shall not be separated from employment or receive a reduction in base salary because of such consolidation.,employees,management,worker,shall,True,passive,plain,prohibition,prohibition,True,1.0,job_security,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,9,"UTD is specifically authorized by bargaining unit employees to enter into a Memorandum of Understanding that clarifies or amends this Agreement, without having to be ratified by bargaining unit members.",UTD,worker,worker,,False,passive,permission_verb,permission,permission,True,0.85,other,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,9,Any Memorandum of Understanding that constitutes an amendment to this Agreement will be incorporated in and made a part of this Agreement.,Any Memorandum of Understanding that constitutes an amendment to this Agreement,other,worker,will,False,passive,plain,obligation,obligation,True,0.9,other,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,9,"All the provisions of this Contract shall be subject to Florida Statutes, Chapter 447, including its prohibitions against strikes.",All the provisions of this Contract,other,management,shall,False,active,plain,obligation,obligation,True,1.0,teacher_rights_and_conduct,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,9,The Board further agrees that this Contract shall supersede any Board Policies in conflict with the provisions of this Contract.,The Board,management,worker,shall,False,active,plain,obligation,other,False,1.0,other,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,9,"The parties agree to establish a Managerial/Confidential Exempt Review Committee which will include a representative from Labor Relations, a representative from Human Resources, and a representative of the exclusive bargaining agent.",The parties,other,management,will,False,active,plain,obligation,other,False,0.9,other,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,10,"Office employee unit members shall not be designated as confidential exempt employees, except by mutual agreement of all the representatives above.",Office employee unit members,management,worker,shall,True,passive,plain,prohibition,prohibition,True,1.0,job_security,True,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,Miami–Dade County Public Schools,10,"The Board agrees not to change the position classification of any employee in this bargaining unit or to otherwise change its organizational structure, for the purpose of either removing employees from the bargaining unit (except by promotion) or affecting their rights under this Contract without the mutual consent of both parties to this Contract.",The Board,management,worker,,True,active,plain,prohibition,prohibition,True,0.0,job_security,True,
