# UTD_2017-2020_Agreement.pdf — 12-Month 250 Day Work Year (U0) (07/01/2017)
# population: Office Employees | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
step,STEP02,STEP03,STEP04,STEP05,STEP06,STEP07,STEP08,STEP09,STEP10,STEP12,STEP13,STEP14
17 Annual,,,,,,21216,21820,24254,25621,26753,29387,37252
18 Annual,,21216,21247,21456,21820,22857,23941,26610,27978,29112,31745,39442
19 Annual,21820,22037,22258,22479,22857,23941,25081,27874,29242,30374,33009,40614
20 Annual,23941,24180,24422,24665,25081,26269,27519,30592,31959,33094,35727,43137
21 Annual,26269,26531,26797,27063,27519,28831,30198,33563,34930,36064,38697,45893
22 Annual,27519,27794,28071,28352,28831,30198,31629,35154,36525,37658,40293,47371
23 Annual,28831,29120,29409,29705,30198,31629,33131,36828,38194,39328,41962,48923
24 Annual,30198,30500,30803,31113,31629,33131,34706,38576,39944,41078,43712,50546
25 Annual,31629,31946,32263,32586,33130,34707,36413,40224,41090,42197,44831,51585
26 Annual,33210,33542,33877,34216,34787,36442,38235,42236,43145,44306,47071,54040
27 Annual,34871,35219,35571,35926,36526,38265,40146,44347,45301,46522,49425,56619
