# UTD_2017-2020_Agreement.pdf — MIAMI-DADE COUNTY PUBLIC SCHOOLS ARTICLE XVIII - - OFFICE PERSONNEL 10-MONTH (U0) (Effective 07/01/2017)
# population: Educational Support Personnel / Office Personnel (U0) | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
step,STEP02,STEP03,STEP04,STEP05,STEP06,STEP07,STEP08,STEP09,STEP10,STEP12,STEP13,STEP14
17 Annual,,,,,18116,18581,19463,21636,22820,23764,26045,32821
18 Annual,18581,18765,18954,19144,19463,20389,21357,23826,24924,25869,28151,34773
19 Annual,19463,19658,19855,20052,20389,21357,22373,24866,26050,26996,29278,35820
20 Annual,21357,21569,21788,22003,22373,23436,24552,27291,28476,29419,31702,38070
21 Annual,23436,23671,23905,24145,24552,25718,26940,29940,31126,32069,34352,40529
22 Annual,24552,24796,25045,25295,25718,26940,28216,31361,32547,33491,35772,41848
23 Annual,25718,25976,26235,26497,26940,28216,29555,32853,34039,34982,37264,43232
24 Annual,26940,27209,27481,27756,28216,29555,30963,34412,35600,36542,38825,44681
25 Annual,28216,28497,28783,29072,29555,30963,32435,35919,37109,38016,40298,46048
26 Annual,29627,29922,30222,30524,31033,32509,34056,37715,38964,39917,42314,48243
27 Annual,31107,31419,31734,32051,32584,34136,35759,39600,40914,41912,44428,50548
