document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,"Portland Public Schools, ME",6,But such excluded personnel will have the right to request assistance from the Association in cases affecting their employment as regular educators.,such excluded personnel,worker,management,will,False,active,plain,obligation,right,False,0.9,teacher_rights_and_conduct,True,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,"Portland Public Schools, ME",6,"each reserves the right to act hereunder by committee, which committee will not exceed nine (9) in number, individual member, or designated representative, whether or not a member.",each,other,worker,will,False,active,plain,obligation,right,False,0.9,other,True,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,"Portland Public Schools, ME",6,"Each party will provide to the other, upon request, a written statement indicating the person or persons authorized to act in its behalf at any particular point in time.",Each party,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,"Portland Public Schools, ME",6,either party may petition the Maine Labor Relations Board in accordance with its rules and procedures to determine whether the position should be included or excluded from this bargaining unit.,either party,other,worker,may,False,active,plain,permission,permission,True,0.3,other,True,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,"Portland Public Schools, ME",6,"Said Board may act through its Chairperson, any committee thereof, its Superintendent or any other representative authorized to act for it in any particular situation or class of situations.",Said Board,management,management,may,False,active,plain,permission,permission,True,0.3,other,True,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,"Portland Public Schools, ME",6,Said Association may act through its President or any committee thereof or any other representative authorized to act for it in any particular situation or class of situations.,Said Association,worker,worker,may,False,active,plain,permission,permission,True,0.3,other,True,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,"Portland Public Schools, ME",7,"Except as otherwise specifically provided in this Agreement, or otherwise specifically agreed to in writing between the parties, the determination of educational policy, the operation and management of the schools and the control, supervision and direction of the educators are vested exclusively in the Board.","the determination of educational policy, the operation and management of the schools and the control, supervision and direction of the educators",other,management,,False,passive,rights_passive,right,right,True,0.85,other,True,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,"Portland Public Schools, ME",7,the meeting will be rescheduled,the meeting,other,worker,will,False,passive,plain,obligation,obligation,True,0.9,other,False,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,"Portland Public Schools, ME",7,a formal process as outlined in Section D below will be followed.,a formal process as outlined in Section D below,other,worker,will,False,passive,plain,obligation,obligation,True,0.9,other,True,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,"Portland Public Schools, ME",7,All educators employed by the Board shall have the right to become members of the Association or to refrain from doing so.,All educators employed by the Board,worker,worker,shall,False,active,rights_active,right,right,True,1.0,teacher_rights_and_conduct,True,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,"Portland Public Schools, ME",7,No educator shall be favored or discriminated against by either the Board or the Association because of her/his membership or non-membership in the Association or for engaging in Association activities not barred by this agreement or by law.,No educator,worker,worker,shall,True,passive,plain,prohibition,prohibition,True,1.0,teacher_rights_and_conduct,True,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,"Portland Public Schools, ME",8,all have the right to become members of the Association or to refrain from doing so.,all,worker,worker,,False,active,rights_active,right,right,True,0.85,teacher_rights_and_conduct,True,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,"Portland Public Schools, ME",8,"The Board and the Association agree that neither shall discriminate against any educator, whether or not a member of the Association, on the basis of race, creed, color, national origin, age, sex, disability, sexual orientation, or marital status.",The Board and the Association,other,worker,shall,False,active,plain,obligation,prohibition,False,1.0,teacher_rights_and_conduct,True,operative duty resides in subordinate clause
