# PEA_Contract_2019-2022_(Teachers).pdf — Schedule 193 Day Professional Learning-Based Salary Schedule (2019-2020)
# population: Teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,Lane I,Lane II,Lane III,Lane IV,Lane V
1,41775,48614,58412,68208,78005
2,41775,50093,59892,69686,79484
3,41775,51572,61370,71166,80964
4,43253,53051,62848,72645,82441
5,44733,54530,64327,74123,83921
6,46212,56009,65805,75603,85400
7,47690,57488,67283,77081,86878
8,49169,58966,68763,78559,88358
9,50647,60445,70241,80039,89835
10,52127,61924,71720,81518,91314
