# PEA_Contract_2019-2022_(Teachers).pdf — Experience-Based Salary Schedule (2020-2021)
# population: Certified teachers | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
step,B,M,MI,D
1,37727,41320,43116,44913
2,39524,43116,44913,46710
3,41320,44913,46710,48507
4,43116,46710,48507,50303
5,44554,48507,50303,52099
6,45990,49943,51739,53535
7,47428,51380,53178,54974
8,48865,52817,54614,56411
9,50303,54255,56051,57848
10,51739,55691,57488,59285
11,53178,57129,58925,60723
12,54614,58567,60363,62160
13,56051,60003,61800,63596
14,57488,61441,63237,65033
15,58746,62699,64495,66292
16,60003,63955,65752,67549
17,61261,65214,67010,68806
18,61261,66471,68267,70065
19,61261,66471,69524,71321
20,61261,66471,69524,71321
21,62340,67549,70603,72399
22,62340,67549,70603,72399
23,62340,67549,70603,72399
24,62340,67549,70603,72399
25,62340,67549,70603,72399
26,63237,68448,71501,73298
27,63237,68448,71501,73298
28,63237,68448,71501,73298
29,63237,68448,71501,73298
30,63237,68448,71501,
