# PEA_Contract_2019-2022_(Teachers).pdf — Schedule 183 Day Professional Learning-Based Salary Schedule (2020-2021)
# population: Certified teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,Lane I,Lane II,Lane III,Lane IV,Lane V
1,40601,47249,56770,66292,75812
2,40601,48685,58207,67727,77249
3,40601,50122,59645,69166,78688
4,42038,51560,61081,70603,80124
5,43475,52997,62519,72040,81561
6,44913,54434,63955,73477,82998
7,46350,55871,65393,74915,84436
8,47787,57308,66831,76352,85874
9,49224,58746,68267,77789,87310
10,50661,60183,69703,79227,88748
