# PEA_Contract_2019-2022_(Teachers).pdf — Schedule 193 Day Professional Learning-Based Salary Schedule (2020-2021)
# population: certified teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,Lane I,Lane II,Lane III,Lane IV,Lane V
1,42819,49830,59873,69914,79955
2,42819,51345,61389,71428,81471
3,42819,52861,62904,72945,82988
4,44335,54378,64419,74461,84502
5,45851,55893,65935,75976,86019
6,47367,57409,67450,77493,87535
7,48882,58925,68965,79008,89050
8,50398,60440,70482,80523,90567
9,51914,61957,71997,82040,92081
10,53430,63472,73513,83556,93597
