document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,Prince Georges County Public Schools,1,"All PGCEA Association Representatives, building principals and PGCEA shall be provided hard copies.","All PGCEA Association Representatives, building principals and PGCEA",management,,shall,False,passive,rights_passive,right,,False,1.0,,True,
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,Prince Georges County Public Schools,1,Hard copies shall also be available to unit members upon request.,Hard copies,other,,shall,False,active,plain,obligation,,False,1.0,,True,
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,Prince Georges County Public Schools,1,PGCEA and the Board will agree on the format to be used,PGCEA and the Board,other,,will,False,active,plain,obligation,,False,0.9,,True,
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,Prince Georges County Public Schools,1,and will share the cost of printing.,PGCEA and the Board,other,,will,False,active,plain,obligation,,False,0.9,,True,
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,Prince Georges County Public Schools,2,"In the event that a specific program established or desired for a particular school which will improve the quality of instruction requires a modification of this Negotiated Agreement, PGCEA and the Chief Executive Officer of Schools must agree to such discrete modifications.",PGCEA and the Chief Executive Officer of Schools,other,,must,False,active,plain,obligation,,False,1.0,,True,
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,Prince Georges County Public Schools,2,"On or before April of a negotiating year, representatives of the Board and PGCEA shall enter into discussions regarding the contents of a new Agreement.",representatives of the Board and PGCEA,other,,shall,False,active,plain,obligation,,False,1.0,,True,
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,Prince Georges County Public Schools,2,"In accordance with Education Article, Annotated Code of Maryland, Section 6-410, PGCEA, or any group of employees represented by PGCEA, shall be prohibited from calling, or directing, or abetting any strike, slow down or any action which interferes with the operation of the schools.","PGCEA, or any group of employees represented by PGCEA",worker,,shall,False,passive,prohibition_verb,prohibition,,False,1.0,,True,
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,Prince Georges County Public Schools,2,"Monetary matters agreed to herein shall not be reopened for any cause, other than as set forth in Section 1.01 hereof and for interpretation, for the duration of this Agreement without the mutual consent of both parties.",Monetary matters agreed to herein,other,,shall,True,passive,plain,prohibition,,False,1.0,,True,Inanimate subject referring to contract subject matter.
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,Prince Georges County Public Schools,3,The parties agree that there shall be a committee composed of not more than four members appointed by PGCEA and four members appointed by the Chief Executive Officer.,The parties,other,,shall,False,active,plain,obligation,,False,1.0,,True,Joint agreement establishing committee structure
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,Prince Georges County Public Schools,3,The Committee will be co-chaired by the Chief Executive Officer/designee and the Association/designee.,The Committee,other,,will,False,passive,plain,obligation,,False,0.9,,True,Passive construction with mixed agents (management and worker)
