document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,School District of Palm Beach County,8,"those District employees who were in this bargaining unit who left to take other positions in the District and who will be returning to this bargaining unit for the 2011-2012 school year or later without a break in service, will be permitted to use all of their years of experience in the District as a member of this bargaining unit plus their years of experience in other District positions after they left the bargaining unit, for salary determination purposes on the Initial Placement Teachers’ Salary Schedule in Appendix A of this agreement, minus the number of years employees in this bargaining unit have not been awarded salary steps",those District employees who were in this bargaining unit who left to take other positions in the District and who will be returning to this bargaining unit for the 2011-2012 school year or later without a break in service,worker,worker,will,False,passive,permission_verb,permission,permission,True,0.9,compensation,True,
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,School District of Palm Beach County,8,their years of seniority in this bargaining unit will revert to what it was when they left this bargaining unit,their years of seniority in this bargaining unit,other,worker,will,False,active,plain,obligation,obligation,True,0.9,seniority,True,
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,School District of Palm Beach County,9,"The Parties agree to jointly petition the Florida Public Employees Relations Commission (PERC) for a unit clarification to substitute the above listed ""included"" positions with the following:",The Parties,other,worker,,False,active,plain,other,obligation,False,0.0,other,True,
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,School District of Palm Beach County,11,"Under no conditions shall management representatives express such complaints or criticisms concerning an employee in the presence of other employees, parents or students.",management representatives,management,worker,shall,False,active,plain,obligation,prohibition,False,1.0,safety_and_working_conditions,True,"""Under no conditions"" acts as a strict prohibition modifier, though the operative verb ""express"" is not explicitly negated."
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,School District of Palm Beach County,11,"The Board hereby retains and reserves unto itself, the Superintendent, the Principals and other administrative personnel of the School System, all powers, rights, authority, duties and responsibilities, and the exercise thereof, as conferred upon and vested in them by the Constitution and the Law and the Regulations of the United States and of the State of Florida, and the policies of the School Board of Palm Beach County, in keeping with provisions of this Agreement.",The Board,management,management,,False,active,rights_active,right,right,True,0.85,other,True,
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,School District of Palm Beach County,11,"If any Section of this Agreement is invalidated by statutes or court order, then only said Section shall be invalidated.",only said Section,other,management,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,Implicit agent is statutory or judicial authority.
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,School District of Palm Beach County,11,"At the request of either Party, such invalidated Section shall be reopened for negotiations.",such invalidated Section,other,management,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,School District of Palm Beach County,11,"If the Parties are unable to resolve the invalidated Section within twenty (20) days of the commencement of negotiations and such Section is a mandatory subject for bargaining, the Parties agree to abide by the provisions of Chapter 447, F. S., concerning said invalidated Section, unless the Parties mutually agree to an alternative dispute resolution procedure.",the Parties,other,management,,False,active,plain,other,obligation,False,0.0,other,True,"Complex conditional structure; operative verb is ""agree""."
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,School District of Palm Beach County,11,Members of the Board or their designated representatives and representatives named by the Association shall meet for the purpose of negotiating an Agreement.,Members of the Board or their designated representatives and representatives named by the Association,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,School District of Palm Beach County,11,Neither Party will attempt to exert any control over the other's selection of its representatives.,Neither Party,other,worker,will,True,active,plain,prohibition,prohibition,True,0.9,other,True,"""Neither"" triggers subject-side quantifier negation."
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,School District of Palm Beach County,11,Consultants may be called upon by either Party at their own expense and utilized in the negotiations of any matter being considered by the representatives of the Parties.,Consultants,other,worker,may,False,passive,permission_verb,permission,permission,True,0.3,other,True,"Explicit ""by either Party"" names agents from both sides."
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,School District of Palm Beach County,11,"No adverse action of any kind shall be taken by the Board or by any members of the Administration against any employee, or by the Association or any employees against the Superintendent or the Board, by reason of participation in negotiations.",No adverse action of any kind,worker,worker,shall,True,passive,plain,prohibition,prohibition,True,1.0,teacher_rights_and_conduct,True,"Explicit ""by"" phrases name agents from both the management and worker sides."
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,School District of Palm Beach County,11,"The Parties agree that negotiations shall take place on a date mutually agreed to by the Parties, but no later than April 15, in any year the contract is to expire.",The Parties,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,"Embedded ""shall"" governs the negotiations clause, but main operative is ""agree""."
