document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,School District of Philadelphia,13,The School District maintains the right to exercise any and all authority granted by such legislation.,The School District,management,management,,False,active,plain,other,other,True,0.0,other,True,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,School District of Philadelphia,13,"The School District shall bargain in good faith with the Federation with respect to hours, wages and terms and conditions of employment for the members of each bargaining unit represented by the Federation.",The School District,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,School District of Philadelphia,13,"The School District possesses the right, in accordance with applicable laws, to manage all operations, including but not limited to the direction of the work force and the right to plan, direct and control the operations of all schools, equipment and other property of the School District, except as modified by this Agreement.",The School District,management,management,,False,active,plain,other,other,True,0.0,other,True,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,School District of Philadelphia,15,No more than three (3) employees shall be granted such leaves of absence for any school year.,No more than three (3) employees,management,management,shall,False,passive,rights_passive,right,obligation,False,1.0,leave,True,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,School District of Philadelphia,15,No more than two (2) substitute teachers who are assured consecutive run assignment on days during which negotiations respecting this Agreement are mutually scheduled by the parties during work hours will be released to attend such negotiations with no loss in pay.,No more than two (2) substitute teachers who are assured consecutive run assignment on days during which negotiations respecting this Agreement are mutually scheduled by the parties during work hours,management,worker,will,False,passive,plain,obligation,obligation,True,0.9,leave,True,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,School District of Philadelphia,15,No more than five (5) employees shall be granted such leaves of absence for any school year.,No more than five (5) employees,management,management,shall,False,passive,rights_passive,right,obligation,False,1.0,leave,True,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,School District of Philadelphia,15,"The School District shall permit a designated regular staff member of the Federation or off-duty employee representative of the Federation to visit the schools or early childhood centers to investigate working conditions, employee complaints or problems, or for any other purposes relating to the terms and conditions of this Agreement.",The School District,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,teacher_rights_and_conduct,True,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,School District of Philadelphia,15,"however, the representative shall notify the Principal immediately upon arrival in the building.",the representative,worker,management,shall,False,active,plain,obligation,obligation,True,1.0,teacher_rights_and_conduct,True,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,School District of Philadelphia,15,"In cases when two (2) representatives visit a school or early childhood center for any of the aforementioned purposes, the Principal shall be notified at least one (1) school day in advance of the visit.",the Principal,management,management,shall,False,passive,rights_passive,right,obligation,False,1.0,other,True,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,School District of Philadelphia,15,Such advance notification may be waived with the express consent of the Principal.,Such advance notification,management,management,may,False,passive,plain,permission,permission,True,0.3,other,True,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,School District of Philadelphia,15,"In the event of emergency circumstances or a prearranged special event, more than two (2) representatives shall be permitted to visit a school.",more than two (2) representatives,management,worker,shall,False,passive,rights_passive,right,permission,False,1.0,other,True,
