# SD_of_Philadelphia_2021-2024.pdf — Non-Teaching and Secretarial Salary Schedule (2020-2023)
# population: Non-teaching and secretarial staff | is_teacher_schedule: False
"# validation_warnings: note: lanes ['Summer School, Secretary 9/1/20', 'Summer School, Secretary 9/1/21', 'Summer School, Secretary 9/1/22'] share a constant value down all steps (likely a legitimate flat rate, not a copy error); note: lanes ['Summer School, Senior Secretary 9/1/20', 'Summer School, Senior Secretary 9/1/21', 'Summer School, Senior Secretary 9/1/22'] share a constant value down all steps (likely a legitimate flat rate, not a copy error); label_not_in_source: 'Non-Teaching 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Non-Teaching 9/1/21' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Non-Teaching 9/1/22' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Non-Teaching 9/1/23' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Assistant - 10 Month 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Assistant - 10 Month 9/1/21' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Assistant - 10 Month 9/1/22' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Assistant - 10 Month 9/1/23' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary - 10 Month 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary - 10 Month 9/1/21' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary - 10 Month 9/1/22' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary - 10 Month 9/1/23' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary - 12 Month 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary - 12 Month 9/1/21' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary - 12 Month 9/1/22' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary - 12 Month 9/1/23' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary III - 10 Month 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary III - 10 Month 9/1/21' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary III - 10 Month 9/1/22' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary III - 10 Month 9/1/23' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary III - 12 Month 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary III - 12 Month 9/1/21' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary III - 12 Month 9/1/22' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Secretary III - 12 Month 9/1/23' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Executive Secretary - 12 Month 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Executive Secretary - 12 Month 9/1/21' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Executive Secretary - 12 Month 9/1/22' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Executive Secretary - 12 Month 9/1/23' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Summer School, Secretary 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Summer School, Secretary 9/1/21' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Summer School, Secretary 9/1/22' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Summer School, Secretary 9/1/23' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Summer School, Senior Secretary 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Summer School, Senior Secretary 9/1/21' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Summer School, Senior Secretary 9/1/22' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Summer School, Senior Secretary 9/1/23' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); only 192 cell(s) for 48 step(s) x 36 lane(s) (expected ~1728); cross_grid_contamination: a value column matches a column in a different schedule (p152) — one grid's data may be contaminated from another; verify; cross_grid_contamination: a value column matches a column in a different schedule (p148) — one grid's data may be contaminated from another; verify | audit corrected this table"
step,Non-Teaching 9/1/20,Non-Teaching 9/1/21,Non-Teaching 9/1/22,Non-Teaching 9/1/23,Assistant - 10 Month 9/1/20,Assistant - 10 Month 9/1/21,Assistant - 10 Month 9/1/22,Assistant - 10 Month 9/1/23,Secretary - 10 Month 9/1/20,Secretary - 10 Month 9/1/21,Secretary - 10 Month 9/1/22,Secretary - 10 Month 9/1/23,Secretary - 12 Month 9/1/20,Secretary - 12 Month 9/1/21,Secretary - 12 Month 9/1/22,Secretary - 12 Month 9/1/23,Secretary III - 10 Month 9/1/20,Secretary III - 10 Month 9/1/21,Secretary III - 10 Month 9/1/22,Secretary III - 10 Month 9/1/23,Secretary III - 12 Month 9/1/20,Secretary III - 12 Month 9/1/21,Secretary III - 12 Month 9/1/22,Secretary III - 12 Month 9/1/23,Executive Secretary - 12 Month 9/1/20,Executive Secretary - 12 Month 9/1/21,Executive Secretary - 12 Month 9/1/22,Executive Secretary - 12 Month 9/1/23,"Summer School, Secretary 9/1/20","Summer School, Secretary 9/1/21","Summer School, Secretary 9/1/22","Summer School, Secretary 9/1/23","Summer School, Senior Secretary 9/1/20","Summer School, Senior Secretary 9/1/21","Summer School, Senior Secretary 9/1/22","Summer School, Senior Secretary 9/1/23"
01 Non-Teaching,21430,22073,22790,23474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 Non-Teaching,22728,23410,24171,24896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 Non-Teaching,27848,28683,29615,30504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 Non-Teaching,29407,30289,31273,32212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 Non-Teaching,30797,31719,32750,33732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 Non-Teaching,34698,35737,36898,38005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Non-Teaching,36870,37976,39210,40387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Non-Teaching,43548,44191,45627,46996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Assistant - 10 Month,,,,,23163,23800,24574,25311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 Assistant - 10 Month,,,,,24551,25227,26046,26828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 Assistant - 10 Month,,,,,30014,30839,31842,32797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 Assistant - 10 Month,,,,,31577,32445,33500,34505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 Assistant - 10 Month,,,,,32878,33782,34880,35926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 Assistant - 10 Month,,,,,36955,37972,39206,40382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Assistant - 10 Month,,,,,39299,40380,41692,42943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Assistant - 10 Month,,,,,45890,47152,48685,50145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Secretary - 10 Month,,,,,,,,,24115,24778,25584,26351,,,,,,,,,,,,,,,,,,,,,,,,
02 Secretary - 10 Month,,,,,,,,,25766,26474,27335,28155,,,,,,,,,,,,,,,,,,,,,,,,
03 Secretary - 10 Month,,,,,,,,,27325,28077,28989,29859,,,,,,,,,,,,,,,,,,,,,,,,
04 Secretary - 10 Month,,,,,,,,,31057,31911,32948,33936,,,,,,,,,,,,,,,,,,,,,,,,
05 Secretary - 10 Month,,,,,,,,,33486,34407,35526,36591,,,,,,,,,,,,,,,,,,,,,,,,
06 Secretary - 10 Month,,,,,,,,,40341,41450,42797,44081,,,,,,,,,,,,,,,,,,,,,,,,
01 Secretary - 12 Month,,,,,,,,,,,,,30713,31557,32583,33560,,,,,,,,,,,,,,,,,,,,
02 Secretary - 12 Month,,,,,,,,,,,,,32878,33782,34880,35926,,,,,,,,,,,,,,,,,,,,
03 Secretary - 12 Month,,,,,,,,,,,,,35048,36012,37183,38298,,,,,,,,,,,,,,,,,,,,
04 Secretary - 12 Month,,,,,,,,,,,,,39905,41003,42335,43605,,,,,,,,,,,,,,,,,,,,
05 Secretary - 12 Month,,,,,,,,,,,,,42942,44123,45557,46923,,,,,,,,,,,,,,,,,,,,
06 Secretary - 12 Month,,,,,,,,,,,,,51445,52860,54578,56215,,,,,,,,,,,,,,,,,,,,
01 Secretary III - 10 Month,,,,,,,,,,,,,,,,,28540,29324,30277,31186,,,,,,,,,,,,,,,,
02 Secretary III - 10 Month,,,,,,,,,,,,,,,,,29840,30661,31657,32607,,,,,,,,,,,,,,,,
03 Secretary III - 10 Month,,,,,,,,,,,,,,,,,31577,32445,33500,34505,,,,,,,,,,,,,,,,
04 Secretary III - 10 Month,,,,,,,,,,,,,,,,,33659,34585,35709,36780,,,,,,,,,,,,,,,,
05 Secretary III - 10 Month,,,,,,,,,,,,,,,,,35566,36544,37732,38864,,,,,,,,,,,,,,,,
06 Secretary III - 10 Month,,,,,,,,,,,,,,,,,44070,45282,46753,48156,,,,,,,,,,,,,,,,
01 Secretary III - 12 Month,,,,,,,,,,,,,,,,,,,,,36608,37615,38837,40002,,,,,,,,,,,,
02 Secretary III - 12 Month,,,,,,,,,,,,,,,,,,,,,38519,39578,40864,42090,,,,,,,,,,,,
03 Secretary III - 12 Month,,,,,,,,,,,,,,,,,,,,,40426,41537,42887,44174,,,,,,,,,,,,
04 Secretary III - 12 Month,,,,,,,,,,,,,,,,,,,,,43202,44390,45833,47208,,,,,,,,,,,,
05 Secretary III - 12 Month,,,,,,,,,,,,,,,,,,,,,45719,46976,48503,49958,,,,,,,,,,,,
06 Secretary III - 12 Month,,,,,,,,,,,,,,,,,,,,,56127,57671,59545,61331,,,,,,,,,,,,
01 Executive Secretary - 12 Month,,,,,,,,,,,,,,,,,,,,,,,,,43151,44338,45779,47152,,,,,,,,
02 Executive Secretary - 12 Month,,,,,,,,,,,,,,,,,,,,,,,,,44407,45628,47111,48524,,,,,,,,
03 Executive Secretary - 12 Month,,,,,,,,,,,,,,,,,,,,,,,,,47514,48820,50407,51919,,,,,,,,
04 Executive Secretary - 12 Month,,,,,,,,,,,,,,,,,,,,,,,,,51315,52726,54440,56073,,,,,,,,
05 Executive Secretary - 12 Month,,,,,,,,,,,,,,,,,,,,,,,,,56128,57671,59545,61332,,,,,,,,
06 Executive Secretary - 12 Month,,,,,,,,,,,,,,,,,,,,,,,,,64723,66503,68664,70724,,,,,,,,
"01 Summer School, Secretary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.76,22.76,22.76,23.44,,,,
"01 Summer School, Senior Secretary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.36,25.36,25.36,26.12
