"# SD_of_Philadelphia_2021-2024.pdf — Master’s + 30, Doctorate (2020-2024)"
# population: Certified teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,9/1/20,9/1/21,9/1/22,9/1/23,9/1/20,9/1/21,9/1/22,9/1/23
01,53961,55445,57247,58965,53961,55445,57247,58965
02,57344,58921,60836,62661,57344,58921,60836,62661
03,62720,64445,66539,68535,62720,64445,66539,68535
04,66366,68191,70408,72520,66366,68191,70408,72520
05,69574,71487,73811,76025,69574,71487,73811,76025
06,72524,74518,76940,79249,72524,74518,76940,79249
07,75472,77547,80067,82469,75472,77547,80067,82469
08,78915,81085,83720,86232,78915,81085,83720,86232
09,82517,84786,87542,90168,82517,84786,87542,90168
10,86283,88655,91537,94283,86283,88655,91537,94283
11,90218,92699,95712,98583,90218,92699,95712,98583
