# SD_of_Philadelphia_2021-2024.pdf — Special Education Teacher or Apprentice or Pre-Professional Teacher (2020-2024)
"# population: Certified teachers (Special Education, Apprentices, Pre-Professional Teachers) | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
step,9/1/20,9/1/21,9/1/22,9/1/23,9/1/20,9/1/21,9/1/22,9/1/23
01,49447,50807,52458,54032,49447,50807,52458,54032
02,52223,53659,55403,57065,52223,53659,55403,57065
03,56737,58298,60192,61998,56737,58298,60192,61998
04,60120,61773,63781,65694,60120,61773,63781,65694
05,63243,64982,67094,69107,63243,64982,67094,69107
06,66193,68013,70223,72330,66193,68013,70223,72330
07,69050,70949,73255,75453,69050,70949,73255,75453
08,71538,73505,75894,78171,71538,73505,75894,78171
09,74115,76154,78629,80988,74115,76154,78629,80988
10,76784,78896,81460,83903,76784,78896,81460,83903
11,79551,81738,84395,86927,79551,81738,84395,86927
