"# SD_of_Philadelphia_2021-2024.pdf — Teacher, Apprentice Teacher, Pre-Professional Teacher, Dental Hygienist & Therapist, School Nurse and Nurse Practitioner (2020-2024)"
"# population: Certified teachers (general teachers, apprentices, pre-professionals, dental hygienists/therapists, school nurses, nurse practitioners) | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
step,9/1/20,9/1/21,9/1/22,9/1/23,9/1/20,9/1/21,9/1/22,9/1/23
01,48580,49916,51539,53085,48580,49916,51539,53085
02,50923,52323,54023,55644,50923,52323,54023,55644
03,55433,56958,58809,60573,55433,56958,58809,60573
04,58815,60432,62396,64268,58815,60432,62396,64268
05,61937,63641,65709,67680,61937,63641,65709,67680
06,64887,66672,68839,70904,64887,66672,68839,70904
07,67752,69615,71878,74034,67752,69615,71878,74034
08,70527,72467,74822,77066,70527,72467,74822,77066
09,73416,75434,77886,80223,73416,75434,77886,80223
10,76421,78523,81075,83507,76421,78523,81075,83507
11,79551,81738,84395,86927,79551,81738,84395,86927
