# SD_of_Philadelphia_2021-2024.pdf — Professional/Technical Salaries (2021-2024)
# population: Professional/Technical Staff | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
step,9/1/20,9/1/21,9/1/22,9/1/23
Pay Grade 1551 Step 01,26601,27332,28221,29067
Pay Grade 1551 Step 02,28203,28979,29921,30818
Pay Grade 1551 Step 03,33443,34362,35479,36543
Pay Grade 1551 Step 04,34742,35697,36858,37963
Pay Grade 1551 Step 05,39605,40694,42017,43277
Pay Grade 1551 Step 06,46378,47653,49202,50678
Pay Grade 1624 Step 01,34268,35210,36355,37445
Pay Grade 1624 Step 02,36176,37171,38379,39531
Pay Grade 1624 Step 03,37995,39040,40308,41518
Pay Grade 1624 Step 04,40685,41804,43163,44458
Pay Grade 1624 Step 05,43114,44300,45740,47112
Pay Grade 1624 Step 06,52396,53837,55586,57254
Pay Grade 1626 Step 01,37216,38239,39482,40666
Pay Grade 1626 Step 02,39385,40468,41783,43037
Pay Grade 1626 Step 03,41465,42605,43990,45310
Pay Grade 1626 Step 04,44502,45726,47212,48629
Pay Grade 1626 Step 05,47364,48666,50248,51755
Pay Grade 1626 Step 06,56995,58562,60466,62280
Pay Grade 1627 Step 01,39038,40112,41415,42658
Pay Grade 1627 Step 02,41118,42249,43622,44931
Pay Grade 1627 Step 03,43287,44477,45922,47300
Pay Grade 1627 Step 04,46325,47599,49146,50620
Pay Grade 1627 Step 05,49273,50628,52273,53842
Pay Grade 1627 Step 06,59076,60701,62673,64554
Pay Grade 1628 Step 01,40686,41805,43163,44458
Pay Grade 1628 Step 02,42942,44123,45557,46923
Pay Grade 1628 Step 03,45110,46351,47857,49293
Pay Grade 1628 Step 04,48407,49738,51354,52895
Pay Grade 1628 Step 05,51445,52860,54578,56215
Pay Grade 1628 Step 06,61333,63020,65068,67020
Pay Grade 3645 Step 01,70182,72112,74455,76689
Pay Grade 3645 Step 02,73217,75230,77675,80006
Pay Grade 3645 Step 03,76252,78349,80895,83322
Pay Grade 3645 Step 04,79375,81557,84208,86734
Pay Grade 3645 Step 05,82413,84680,87432,90055
Pay Grade 3645 Step 06,84838,87171,90004,92704
Pay Grade 3645 Step 07,87443,89848,92768,95551
Pay Grade 3648 Step 01,74777,76834,79331,81711
Pay Grade 3648 Step 02,77817,79957,82555,85032
Pay Grade 3648 Step 03,80854,83078,85778,88351
Pay Grade 3648 Step 04,83974,86284,89088,91760
Pay Grade 3648 Step 05,87010,89403,92309,95078
Pay Grade 3648 Step 06,89615,92080,95072,97924
Pay Grade 3648 Step 07,92302,94841,97923,100861
Pay Grade 3659 Step 01,91608,94128,97187,100102
Pay Grade 3659 Step 02,94733,97338,100502,103517
Pay Grade 3659 Step 03,97766,100455,103719,106831
Pay Grade 3659 Step 04,100803,103576,106942,110150
Pay Grade 3659 Step 05,103927,106785,110256,113563
Pay Grade 3659 Step 06,107048,109992,113567,116974
Pay Grade 3659 Step 07,110260,113292,116974,120483
