# SD_of_Philadelphia_2021-2024.pdf — Bachelor's or Equivalent (9/1/20 - 9/1/23)
"# population: Teacher, Apprentice Teacher, Pre-Professional Teacher, Dental Hygienist & Therapist, School Nurse and Nurse Practitioner | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,9/1/20,9/1/21,9/1/22,9/1/23
01,56631,58188,60079,61881
02,59026,60649,62620,64499
03,63814,65569,67700,69731
04,67873,69740,72006,74167
05,71726,73698,76093,78376
06,75162,77229,79739,82131
07,78490,80649,83270,85768
08,79959,82158,84828,87373
09,81453,83693,86413,89005
10,82976,85258,88029,90670
11,84529,86853,89676,92366
