# SD_of_Philadelphia_2021-2024.pdf — Bachelor's or Equivalent (9/1/20 - 9/1/23)
# population: Special Education Teacher or Apprentice or Pre-Professional Teacher | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,9/1/20,9/1/21,9/1/22,9/1/23
01,57672,59258,61184,63019
02,60586,62252,64276,66204
03,65373,67171,69354,71435
04,69434,71344,73662,75872
05,73286,75302,77749,80081
06,76721,78831,81393,83835
07,80054,82255,84929,87477
08,81149,83381,86091,88673
09,82262,84524,87271,89889
10,83387,85680,88464,91118
11,84529,86853,89676,92366
