# SD_of_Philadelphia_2021-2024.pdf — Doctorate (9/1/20 - 9/1/23)
"# population: Teacher, Apprentice Teacher, Pre-Professional Teacher, Dental Hygienist & Therapist, School Nurse and Nurse Practitioner | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,9/1/20,9/1/21,9/1/22,9/1/23
01,64753,66534,68697,70757
02,68813,70705,73003,75193
03,75264,77334,79847,82243
04,79640,81830,84489,87024
05,83489,85785,88573,91230
06,87029,89422,92328,95098
07,90566,93057,96063,98963
08,94698,97302,100464,103478
09,99021,101744,105050,108202
10,103539,106387,109844,113139
11,108261,111239,114854,118300
