# SD_of_Philadelphia_2021-2024.pdf — Doctorate (9/1/20 - 9/1/23)
# population: Special Education Teacher or Apprentice or Pre-Professional Teacher | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,9/1/20,9/1/21,9/1/22,9/1/23
01,65791,67600,69797,71891
02,70372,72307,74657,76897
03,76825,78937,81503,83948
04,81198,83430,86142,88726
05,85051,87390,90230,92937
06,88592,91029,93987,96807
07,92132,94666,97743,100675
08,95925,98563,101766,104819
09,99873,102620,105955,109134
10,103984,106843,110316,113625
11,108261,111239,114854,118300
