# SD_of_Philadelphia_2021-2024.pdf — Master's + 30 (9/1/20 - 9/1/23)
"# population: Teacher, Apprentice Teacher, Pre-Professional Teacher, Dental Hygienist & Therapist, School Nurse and Nurse Practitioner | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,9/1/20,9/1/21,9/1/22,9/1/23
01,61943,63646,65715,67686
02,65166,66958,69135,71209
03,71205,73163,75541,77807
04,75474,77550,80070,82472
05,79325,81506,84155,86680
06,82860,85139,87906,90543
07,86403,88779,91665,94414
08,90522,93011,96034,98915
09,94839,97448,100615,103633
10,99361,102094,105412,108574
11,104100,106963,110439,113752
