# SD_of_Philadelphia_2021-2024.pdf — Master's + 30 (9/1/20 - 9/1/23)
# population: Special Education Teacher or Apprentice or Pre-Professional Teacher | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,9/1/20,9/1/21,9/1/22,9/1/23
01,62981,64713,66816,68821
02,66727,68562,70790,72914
03,72767,74768,77198,79514
04,77033,79152,81724,84176
05,80883,83107,85808,88382
06,84424,86746,89565,92252
07,87965,90384,93322,96121
08,91748,94271,97335,100255
09,95692,98324,101519,104565
10,99808,102553,105886,109062
11,104100,106963,110439,113752
