# SD_of_Philadelphia_2021-2024.pdf — Master's or Equivalent (9/1/20 - 9/1/23)
# population: Special Education Teacher or Apprentice or Pre-Professional Teacher | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,9/1/20,9/1/21,9/1/22,9/1/23
01,59336,60968,62950,64838
02,62668,64391,66484,68478
03,68085,69957,72231,74398
04,72144,74128,76537,78833
05,75891,77978,80512,82928
06,79431,81615,84268,86796
07,82860,85139,87906,90543
08,85846,88206,91073,93805
09,88939,91384,94354,97185
10,92141,94675,97752,100684
11,95461,98086,101274,104312
