document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,9,All duties of the kind customarily performed by the certificated non-supervisory educational employees operating under the direction/supervision of SPS personnel shall be performed only by SEA bargaining unit personnel,All duties of the kind customarily performed by the certificated non-supervisory educational employees operating under the direction/supervision of SPS personnel,worker,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,9,a Principal or Assistant Principal may fill in when a substitute is not available,a Principal or Assistant Principal,management,management,may,False,active,permission_verb,permission,permission,True,0.3,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,9,they may conduct a class of their own as long as the duties do not become a primary part of their job or performing the work displace,they,management,management,may,False,active,permission_verb,permission,permission,True,0.3,other,True,truncated at end of chunk
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,10,The SEA shall have the exclusive privileges and rights for members of its bargaining unit including the right to have payroll deduction of organization dues and fees and other deductions as mutually agreed in this Agreement and the right of representation in formal grievance hearings of employees pursuant to the provisions of the Grievance Procedure.,The SEA,worker,worker,shall,False,active,plain,obligation,right,False,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,10,The rights granted herein to the SEA in accordance with law shall not be granted to any competing employee organization.,The rights granted herein to the SEA in accordance with law,other,worker,shall,True,passive,rights_passive,other,prohibition,False,0.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,10,The rights and privileges afforded the Association as specifically enumerated in this Agreement shall not be granted to any competing labor organization or any organization seeking to represent or otherwise communicate with employees represented by the Association.,The rights and privileges afforded the Association as specifically enumerated in this Agreement,worker,worker,shall,True,passive,rights_passive,other,prohibition,False,0.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,10,"Individual contracts for employees shall be in conformance with 28A.405.210, 28A.405.240, and 28A.405.900 RCW, and other applicable laws.",Individual contracts for employees,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,10,"The personnel rules, regulations and procedures contained in the individual contracts for employees shall not be in conflict with the provisions of this Agreement.","The personnel rules, regulations and procedures contained in the individual contracts for employees",other,worker,shall,True,active,plain,prohibition,prohibition,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,10,"Each employee shall be the holder of a valid teaching, Educational Staff Associate (ESA) and/or vocational certificate issued by the State Board of Education.",Each employee,worker,management,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,10,The Board shall make a written individual employee contract with each employee in conformity with the provisions of this Agreement and the laws of the State.,The Board,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,10,"As an Equal Opportunity Employer, the SPS shall continue to seek to obtain applications for employment from men and women in accordance with its Affirmative Action program.",the SPS,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,10,"Yearly, the parties shall meet with a representative group of staff of color to discuss how, together, we can attract and retain staff of color.",the parties,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,11,Employees will be on the Certificated Non-Supervisory Employees Salary Schedule based on verification of credits and experience.,Employees,worker,worker,will,False,active,plain,obligation,obligation,True,0.9,compensation,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,11,"Unless otherwise provided herein, this Agreement shall not be interpreted and/or applied so as to eliminate, reduce, or otherwise detract from individual salaries or employee benefits.",this Agreement,other,worker,shall,True,passive,plain,prohibition,prohibition,True,1.0,compensation,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,11,SEA and SPS agree to review annually all newly or recently created non-represented non-supervisory positions and discuss whether those positions share a community of interest with other SEA represented positions and should therefore be placed in the appropriate bargaining unit represented by SEA.,SEA and SPS,other,worker,should,False,active,plain,obligation,other,False,0.7,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,11,Positions previously reviewed by PERC are excluded unless they have been subject to changed circumstances.,Positions previously reviewed by PERC,other,management,,False,passive,plain,other,other,True,0.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,11,Either party reserves the right to submit areas of disagreement to PERC.,Either party,other,management,,False,active,rights_active,right,right,True,0.85,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,11,either party may reopen for renegotiation any item subject to renegotiation during the term of this Agreement as specified elsewhere in this Agreement.,either party,other,management,may,False,active,plain,permission,permission,True,0.3,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,11,"Except as otherwise provided in this Agreement, this Agreement is complete in and of itself and sets forth all terms and conditions of all the agreements between the SPS and the SEA pursuant to Chapter 41.59 RCW.",this Agreement,other,management,,False,active,plain,other,other,True,0.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,11,"The SPS will appropriately maintain and/or modify SPS policies, rules, regulations, procedures and/or practices in order to implement the provisions of this Agreement.",The SPS,management,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,11,"Policies, rules, regulations, procedures and practices of the SPS in effect on the effective date of this Agreement dealing with matters of wages, hours, and terms and conditions of employment, published by the SPS, and not in conflict with the provisions of this Agreement shall remain in full force during the term of this Agreement, unless modified by mutual agreement of the SPS and the SEA.","Policies, rules, regulations, procedures and practices of the SPS in effect on the effective date of this Agreement dealing with matters of wages, hours, and terms and conditions of employment, published by the SPS, and not in conflict with the provisions of this Agreement",other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,11,"The SPS reserves the right to make, adopt, and implement other policies, rules, regulations and procedures not in conflict with this Agreement.",The SPS,management,management,,False,active,rights_active,right,right,True,0.85,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,11,"This Agreement may be altered, changed, added to, deleted from, or modified only in writing following the voluntary, mutual consent of the SPS and the SEA.",This Agreement,other,worker,may,False,passive,plain,permission,obligation,False,0.3,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,11,Neither party shall be required to negotiate on any issue during the term of this Agreement except as provided in this Agreement.,Neither party,other,management,shall,True,passive,obligation_verb,right,right,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,11,"The parties agree that should there be changes in legislation, administrative code, or funding either party may initiate negotiations over the impact of the changes.",The parties,other,management,should,False,active,plain,obligation,permission,False,0.7,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,either party may initiate negotiations over the impact of the changes.,either party,other,management,may,False,active,plain,permission,permission,True,0.3,other,True,Operative clause extracted from complex sentence.
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,either party may initiate negotiations over matters related to efforts to implement the intent of the Preamble of this Agreement to close the achievement gap or any provision of this Agreement that either party feels thwarts this effort.,either party,other,worker,may,False,active,plain,permission,permission,True,0.3,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,the provisions or application shall not be valid except to the extent permitted by law,the provisions or application,other,worker,shall,True,active,plain,prohibition,prohibition,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,all other provisions or applications shall continue in full force and effect for the term of this Agreement.,all other provisions or applications,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,Adjustment or modification of any provisions of this Agreement found to be contrary to law will be subject to bargaining provisions of Chapter 41.59 RCW.,Adjustment or modification of any provisions of this Agreement found to be contrary to law,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,"written notice of the intent shall be given to the other party no sooner than March, but no later than April of the calendar year 2019.",written notice of the intent,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,Passive voice; implicit agent is management.
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,representatives of the SEA and the SPS shall meet at reasonable times,representatives of the SEA and the SPS,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,"shall bargain in good faith in an effort to reach agreement with respect to wages, hours, and terms and conditions of employment as provided in Chapter 41.59 RCW.",representatives of the SEA and the SPS,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,Subject elided from previous clause.
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,Collective bargaining shall be conducted at the times mutually agreeable to the bargaining team named by each party.,Collective bargaining,other,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,"Copies of this Agreement entitled ""Collective Bargaining Agreement between SPS and the SEA for 2018-2019 shall be printed by the SEA after the Agreement has been ratified and signed","Copies of this Agreement entitled ""Collective Bargaining Agreement between SPS and the SEA for 2018-2019",worker,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,and shall be distributed by the SEA to all certificated non-supervisory employees represented by the SEA,Copies of this Agreement,worker,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,Subject elliptical from previous clause.
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,or they may choose to post the Agreement online,they,worker,worker,may,False,active,permission_verb,permission,permission,True,0.3,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,and send a link to each of their members.,they,worker,worker,may,False,active,plain,permission,permission,True,0.3,other,True,Subject and modal elliptical.
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,The SPS shall post the Agreement on the District website,The SPS,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,and provide the link to all newly employed certificated non-supervisory employees.,The SPS,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,Subject and modal elliptical.
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,The SPS and the SEA will mutually agree to any proposed format changes to the Agreement prior to posting it online.,The SPS and the SEA,other,management,will,False,active,plain,obligation,obligation,True,0.9,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,There shall be two (2) signed copies of the final Agreement for the purpose of records.,two (2) signed copies of the final Agreement,other,management,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,One shall be retained by the SPS,One,management,management,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,12,and one by the SEA.,one,worker,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,Verb and modal elliptical.
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,13,one by the SEA.,one,worker,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,Elliptical clause extracted from compound sentence
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,13,"The SPS shall furnish upon request of officers or authorized representatives of the SEA any and all disclosable information, statistics, and records which the SEA and the SPS mutually agree are relevant to negotiations or are necessary for the organization to fulfill its legal representation responsibility.",The SPS,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,13,"Any requests beyond what is relevant to negotiations or necessary for the organization to fulfill its legal responsibility that necessitate extensive use of staff and data processing time beyond that normally allocated and budgeted in developing and producing information, statistics and records normally utilized by the SPS must be carefully evaluated to keep expenditures within budgeted allocations.","Any requests beyond what is relevant to negotiations or necessary for the organization to fulfill its legal responsibility that necessitate extensive use of staff and data processing time beyond that normally allocated and budgeted in developing and producing information, statistics and records normally utilized by the SPS",management,management,must,False,passive,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,13,Requests beyond budgeted allocations shall be honored,Requests beyond budgeted allocations,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,13,the costs incurred shall be reimbursed by the SEA.,the costs incurred,worker,management,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,Seattle Public Schools,13,The parties agree to negotiate all calendars during the negotiation process.,The parties,other,management,,False,active,plain,other,other,True,0.0,other,True,
