# Seattle_final_CBA_2018-2019.pdf — APPENDIX E CERTIFICATED NON-SUPERVISORY SPECIAL & SUPPLEMENTAL ASSIGNMENTS COMPENSATION SCHEDULE 2018-2019 (2018-2019)
# population: Certificated non-supervisory special & supplemental assignments | is_teacher_schedule: False
"# validation_warnings: no lane columns extracted — verify this is truly a single-column table (step → value only, with no separate degree, year, or category columns) | audit corrected this table"
step,value
ANNUAL,2373.23
BUILDING COORDINATOR ATHLETICS,1744.82
DEBATE,1321.57
ELEM RECREATIONAL,1768.26
ELEM SCH/HOME/COMM COORD,1768.26
NEWSPAPER,2373.45
SAFETY PATROL,1257.16
SR CLASS ADVISOR,1125.54
STOCKROOM,2248.71
"BAND, CHORAL, DRAMA, ORCHESTRA (Secondary Schools with > 1500 students)",10623.42
"BAND, CHORAL, DRAMA, ORCHESTRA (Secondary Schools with < 1500 students)",6779.46
