document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,11,Contracted members serving a school term of 140 full-time or part-time instructional days or more shall be credited with a year of teaching service.,Contracted members serving a school term of 140 full-time or part-time instructional days or more,management,worker,shall,False,passive,rights_passive,right,obligation,False,1.0,seniority,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,11,An experience step and educational attainment shall be provided to eligible members in each year of this agreement.,An experience step and educational attainment,management,worker,shall,False,passive,rights_passive,right,obligation,False,1.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,"The District shall provide up to five years of prior experience credit for placement on the salary schedule, at time of hire.",The District,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,"Members who hold Certificates from the National Board of Professional Teaching Standards shall receive a $2000 salary supplement each year for the life of the certificate or 10 years, whichever is shorter.",Members who hold Certificates from the National Board of Professional Teaching Standards,worker,worker,shall,False,active,rights_active,right,right,True,1.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,A $2000 payment shall also be paid for certificates or advanced training (for Occupational and Physical Therapists only) that the District judges to be comparable to that conferred by the National Board of Professional Teaching Standards.,A $2000 payment,management,worker,shall,False,passive,rights_passive,right,obligation,False,1.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,"These supplements shall be paid by addenda, issued by Human Resources, within sixty (60) days of the completion of all required paperwork.",These supplements,management,worker,shall,False,passive,rights_passive,right,obligation,False,1.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,A District committee shall be established to review requests,A District committee,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,the Association will appoint two members to that committee.,the Association,worker,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,The decision of the District regarding eligibility for the supplemental payment shall be final.,The decision of the District regarding eligibility for the supplemental payment,management,management,shall,False,active,plain,obligation,right,False,1.0,other,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,"The District may wish to compensate these positions with a supplemental wage: Audiologists, Psychologists, Occupational Therapists, Physical Therapists, Teachers of the Blind and Visually Impaired, Speech Language Pathologists, World Language Immersion Teachers.",The District,management,management,may,False,active,plain,permission,permission,True,0.3,compensation,True,discretionary language ('may wish') indicates non-binding suggestion rather than strict obligation
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,A committee will meet to make recommendations regarding the supplemental wage.,A committee,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,The Executive Director of Human Resources or his designee will chair the committee.,The Executive Director of Human Resources or his designee,management,management,will,False,active,plain,obligation,obligation,True,0.9,other,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,AEA may appoint two representatives to the committee.,AEA,worker,worker,may,False,active,plain,permission,permission,True,0.3,other,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,Recommendation adoption would be at the sole discretion of the superintendent.,Recommendation adoption,management,management,,False,active,plain,other,right,False,0.0,other,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,"Credits and/or degrees applicable to 115 must be in the member’s major or minor field, present teaching area, or a District certificated employment area and earned from an accredited college or university, or Continuing Education Units.",Credits and/or degrees applicable to 115,other,management,must,False,active,plain,obligation,obligation,True,1.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,Official transcripts must be submitted showing a Bachelor’s Degree conferred and 18 semester hours of credit earned subsequent to the granting of the Bachelor’s Degree.,Official transcripts,management,management,must,False,passive,plain,obligation,obligation,True,1.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,Official transcripts must be submitted showing 36 semester hours of which 12 must be graduate level earned subsequent to the granting of a Bachelor’s Degree.,Official transcripts,management,management,must,False,passive,plain,obligation,obligation,True,1.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,"The graduate level credit course requirements will be waived for Type D- or Limited-certificated members for this salary column only, provided that any course taken in lieu of the graduate level course requirements must be related to the member’s present teaching assignment.",The graduate level credit course requirements,management,worker,will,False,passive,rights_passive,right,right,True,0.9,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,13,"Official transcripts must be submitted showing 54 semester hours, of which 30 are graduate credit reflecting grade “B” or higher, earned subsequent to the granting of a Ba",Official transcripts,management,management,must,False,passive,plain,obligation,obligation,True,1.0,compensation,True,truncated at the end of the chunk
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,14,"Official transcripts must be submitted showing 54 semester hours, of which 30 are graduate credit reflecting grade “B” or higher, earned subsequent to the granting of a Bachelors Degree.",Official transcripts,worker,management,must,False,passive,plain,obligation,obligation,True,1.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,14,"Official transcripts must be submitted showing 72 semester hours, of which 42 are graduate credit reflecting grade “B” or higher, earned subsequent to the granting of a Bachelor’s Degree.",Official transcripts,worker,management,must,False,passive,plain,obligation,obligation,True,1.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,14,"Official transcripts must be submitted showing 90 semester hours, of which 54 are graduate credit reflecting grade “B” or higher, earned subsequent to the granting of a Bachelor’s Degree.",Official transcripts,worker,management,must,False,passive,plain,obligation,obligation,True,1.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,14,"Official transcripts must be submitted showing the actual completion of the degree requirements, or a transcript plus certification that requirements have been met and the degree will be granted on a specific date.",Official transcripts,worker,management,must,False,passive,plain,obligation,obligation,True,1.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,14,Master’s Degrees other than in the field of education are acceptable only if they are in or relevant to the member’s current subject area of teaching.,Master’s Degrees other than in the field of education,other,management,,False,active,plain,other,obligation,False,0.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,14,Approval of degrees in areas other than the member’s current teaching assignment will be at the discretion of the District,Approval of degrees in areas other than the member’s current teaching assignment,other,management,will,False,active,plain,obligation,right,False,0.9,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,14,will be granted based upon the program needs of the District.,Approval of degrees in areas other than the member’s current teaching assignment,management,management,will,False,passive,plain,obligation,right,False,0.9,compensation,True,Implied subject from preceding clause.
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,14,"Specifically excluded are degrees in fields unrelated to the member’s assignment, such as business degrees for elementary teachers except in response to a specific District program need, and degrees in law and religion.",degrees in fields unrelated to the member’s assignment,other,management,need,True,active,plain,prohibition,prohibition,True,0.7,compensation,True,Inverted sentence structure; 'excluded' functions as the operative predicate.
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,14,Official transcripts must be submitted showing a Master’s Degree conferred.,Official transcripts,worker,management,must,False,passive,plain,obligation,obligation,True,1.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,14,At least 24 semester hours of credit must be graduate level courses.,At least 24 semester hours of credit,other,management,must,False,active,plain,obligation,obligation,True,1.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,14,At least 30 semester hours of credit must be graduate level courses.,At least 30 semester hours of credit,other,management,must,False,active,plain,obligation,obligation,True,1.0,compensation,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,14,At least 36 semester hours of credit must be graduate level courses.,At least 36 semester hours of credit,other,management,must,False,active,plain,obligation,obligation,True,1.0,professional_development,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,14,Doctorates other than in the field of education are acceptable only if they are in or relevant to the member’s current subject area of teaching.,Doctorates other than in the field of education,other,management,,False,active,plain,other,other,True,0.0,professional_development,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,15,"Official transcripts must be submitted showing the actual completion of the degree requirements, or a transcript plus certification that requirements have been met",Official transcripts,worker,management,must,False,passive,plain,obligation,obligation,True,1.0,professional_development,True,Passive voice; implicit actor is the employee submitting transcripts.
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,15,the degree will be granted on a specific date.,the degree,management,worker,will,False,passive,rights_passive,right,obligation,False,0.9,professional_development,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,15,all credits must be approved.,all credits,management,management,must,False,passive,plain,obligation,obligation,True,1.0,professional_development,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,15,The appropriate instructional department and the Training and Professional Development Department will jointly approve courses.,The appropriate instructional department and the Training and Professional Development Department,management,management,will,False,active,plain,obligation,obligation,True,0.9,professional_development,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,15,Approved courses for advancement will be posted electronically for employees.,Approved courses for advancement,management,worker,will,False,passive,plain,obligation,obligation,True,0.9,professional_development,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,15,"Other approvals will be based upon individual review, as submitted through District-identified process available to members.",Other approvals,management,worker,will,False,active,plain,obligation,obligation,True,0.9,professional_development,True,
anchorage_school_district__54__0f80b912,54.pdf,Anchorage School District,15,Such approvals shall be issued within ten (10) working days of receipt by the District when registration deadlines require.,Such approvals,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,professional_development,True,
