# 54.pdf — 105 SALARY SCHEDULE (2007-2008)
# population: Certified teachers (inferred from degree/step structure) | is_teacher_schedule: True
# validation_warnings: label_not_in_source: 'BA54 w/ Masters' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'BA72 w/ Masters' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'BA90 w/ Doctorate' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim) | audit corrected this table
step,BA,BA18,BA36,ME54,ME72,ME90,BA54 w/ Masters,BA72 w/ Masters,BA90 w/ Masters,BA90 w/ Masters,BA90 w/ Doctorate
0,38555,40614,42674,44732,46791,48849,43174,45232,49349,49349,50849
1,39679,41738,43796,45855,47913,49973,44296,46355,50473,50473,51973
2,40801,42860,44920,46978,49037,51096,45420,47478,51596,51596,53096
3,41925,43984,46042,48101,50159,52219,46542,48601,52719,52719,54219
4,43047,45106,47165,49224,51283,53342,47665,49724,53842,53842,55342
5,44171,46230,48288,50347,52405,54464,48788,50847,54964,54964,56464
6,45294,47352,49411,51470,53529,55588,49911,51970,56088,56088,57588
7,46417,48476,50534,52593,54651,56710,51034,53093,57210,57210,58710
8,47540,49598,51657,53715,55775,57834,52157,54215,58334,58334,59834
9,48662,50722,52780,54839,56898,58956,53280,55339,59456,59456,60956
10,49786,51844,53903,55961,58021,60080,54403,56461,60580,60580,62080
11,50908,52968,55026,57085,59144,61202,55526,57585,61702,61702,63202
12,,54090,56149,58207,60267,62326,56649,58707,62826,62826,64326
13,,55213,57272,59331,61390,63448,57772,59831,63948,63948,65448
14,,,58395,60453,62512,64572,58895,60953,65072,65072,66572
15,,,59518,61577,63636,65694,60018,62077,66194,66194,67694
16,,,,62700,64758,66818,61141,63200,67318,67318,68818
17,,,,63823,65882,67940,,64323,68440,68440,69940
18,,,,,67004,69064,,65446,69564,69564,71064
19,,,,,,70186,,,70686,70686,72186
20,,,,,,,,,71809,71809,73309
21,,,,,,,,,,,74432
