# 54.pdf — 2009-2010 Salary Schedule (2009-2010)
# population: certified teachers | is_teacher_schedule: True
# validation_warnings: label_not_in_source: 'BA54 w/ Masters' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'BA72 w/ Masters' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'BA90 w/ Doctorate' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim) | audit corrected this table
step,BA,BA18,BA36,ME54,ME72,ME90,BA54 w/ Masters,BA72 w/ Masters,BA90 w/ Masters,BA90 w/ Masters,BA90 w/ Doctorate
0,42917,45144,47370,49597,51823,54050,47911,50138,54591,54591,56214
1,44131,46358,48585,50811,53038,55266,49126,51352,55806,55806,57429
2,45346,47573,49799,52026,54252,56480,50340,52567,57020,57020,58643
3,46560,48787,51014,53240,55468,57695,51555,53781,58236,58236,59858
4,47775,50002,52228,54455,56682,58909,52769,54996,59450,59450,61072
5,48990,51216,53443,55669,57897,60124,53984,56210,60665,60665,62287
6,50204,52431,54657,56885,59111,61338,55198,57425,61879,61879,63501
7,51419,53645,55873,58099,60326,62553,56413,58639,63094,63094,64716
8,52633,54861,57087,59314,61541,63767,57627,59855,64308,64308,65930
9,53848,56075,58302,60528,62755,64982,58843,61069,65523,65523,67146
10,55062,57290,59516,61743,63970,66196,60057,62284,66737,66737,68360
11,,58504,60731,62957,65184,67412,61272,63498,67952,67952,69575
12,,59719,61945,64172,66399,68626,62486,64713,69166,69166,70789
13,,,63160,65386,67613,69841,63701,65927,70382,70382,72004
14,,,64374,66601,68829,71055,64915,67142,71596,71596,73218
15,,,67817,70043,72270,,66130,68357,72811,72811,74433
16,,,69031,71258,73484,,,69571,74025,74025,75647
17,,,,72472,74699,,,70787,75240,75240,76862
18,,,,,75913,,,,76454,76454,78076
19,,,,,,,,,77669,77669,79292
20,,,,,,,,,78883,78883,80506
