"# 54.pdf — 2008-2009 Salary Schedule (July 1, 2007 – June 30, 2010)"
# population: certified teachers | is_teacher_schedule: True
# validation_warnings: label_not_in_source: 'BA54 w/ Masters' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'BA72 w/ Masters' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim) | audit corrected this table
step,BA,BA18,BA36,ME54,ME72,ME90,BA54 w/ Masters,BA72 w/ Masters,BA90 w/ Masters,BA90 w/ Masters,Doctorate
0,41266,43407,45548,47689,49830,51972,46068,48209,52492,52492,54052
1,42433,44575,46716,48857,50998,53140,47236,49377,53660,53660,55220
2,43602,45743,47884,50025,52166,54307,48404,50545,54827,54827,56387
3,44769,46911,49052,51193,53334,55476,49572,51713,55996,55996,57556
4,45937,48079,50219,52361,54501,56643,50739,52881,57163,57163,58723
5,47106,49246,51388,53528,55670,57812,51908,54048,58332,58332,59892
6,48273,50415,52555,54697,56837,58979,53075,55217,59499,59499,61059
7,49442,51582,53724,55864,58006,60147,54244,56384,60667,60667,62227
8,50609,52751,54891,57033,59174,61315,55411,57553,61835,61835,63395
9,51777,53918,56059,58200,60341,62483,56579,58720,63003,63003,64563
10,52945,55086,57227,59368,61510,63650,57747,59888,64170,64170,65730
11,,,,,,,58915,61056,65339,65339,66899
12,,,,,,,60083,62224,66506,66506,68066
13,,,,,,,61251,63391,67675,67675,69235
14,,,,,,,62418,64560,68842,68842,70402
15,,,,,,,63587,65728,70010,70010,71570
16,,,,,,,66896,69037,72738,72738,
17,,,,,,,68064,70204,73906,73906,
18,,,,,,,71373,73513,,,
19,,,,,,,72540,74682,,,
20,,,,,,,75849,77409,,,
