"# Baltimore_City_2016-2019.pdf — 2018-19 BTU Career Pathway Salary Schedule Effective January 1, 2019 (Effective January 1, 2019)"
# population: Base Teacher | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,Standard,Professional,Model,Lead
1,49648,62026,90581,98626
2,51137,64732,92174,100324
3,52671,67439,93766,102023
4,54252,70145,95359,103721
5,55878,72853,96950,105419
6,,75771,,
7,,78796,,
8,,80388,,
9,,81455,,
10,,82521,,
11,,83588,,
12,,84656,,
13,,85722,,
14,,86788,,
15,,87856,,
