"# Baltimore_City_2016-2019.pdf — 2017-18 BTU Career Pathway Salary Schedule Effective July 1, 2017 (Effective July 1, 2017)"
# population: Base Teacher | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,Standard,Professional,Model,Lead
1,48914,61109,89242,97168
2,50381,63775,90811,98841
3,51892,66442,92380,100515
4,53450,69108,93949,102188
5,55052,71776,95517,103861
6,,74651,,
7,,77631,,
8,,79200,,
9,,80251,,
10,,81301,,
11,,82352,,
12,,83404,,
13,,84455,,
14,,85505,,
15,,86557,,
