# 69.pdf — Appendix A-1 Salary Index Factors FY2008 (FY2008)
# population: teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,BA,BA+15,BA+36,MA,BA+51,MA+15,BA+66,MA+30
1,35513,36934,39064,39064,41550,41550,44036,44036
2,36934,38709,41018,41018,43326,43326,45812,45812
3,37466,39419,41976,41976,44746,44746,47587,47587
4,39775,41018,44036,44036,46167,46167,49718,49718
5,41195,42616,45190,45190,47943,47943,51494,51494
6,42420,44391,46966,46966,49718,49718,53270,53270
7,42420,45812,49718,49718,51494,51494,55045,55045
8,44004,48653,51494,51494,53270,53270,56821,56821
9,48777,49718,53270,53270,56111,56111,58952,58952
10,,52897,58596,58596,59307,59307,61793,61793
11,,,,61082,61793,61793,63213,63213
12,,,,,,63565,65344,65344
13,,,,,,,,67684
14,,,,,,,,68735
15,,,,,,,,71026
