# 69.pdf — APPENDIX B EXTRACURRICULAR SALARY SCHEDULE ()
# population: Extracurricular activity coaches and advisors | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
step,Category I,Category II,Category III,Category IV,Category V
1,2942,2443,1666,1333,667
2,3110,2588,1776,1421,710
3,3274,2732,1888,1510,755
4,3442,2877,1999,1598,800
5,3609,3021,2109,1688,844
6,3775,3166,2221,1776,888
7,3943,3320,2333,1866,932
8,4109,3454,2443,1954,978
9,4275,3598,2554,2044,1021
10,4442,3743,2666,2132,1066
