document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,Fort Wayne Community Schools,3,"Any teacher who regularly teaches one or more classes shall belong to the teacher bargaining unit with all the rights, benefits, and privileges thereof.",Any teacher who regularly teaches one or more classes,worker,worker,shall,False,active,plain,obligation,obligation,True,1.0,teacher_rights_and_conduct,True,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,Fort Wayne Community Schools,4,The Board encourages teachers to become active members,The Board,management,worker,,False,active,plain,other,other,True,0.0,teacher_rights_and_conduct,True,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,Fort Wayne Community Schools,4,provides for Association involvement in new teacher orientation,The Board,management,worker,,False,active,plain,other,other,True,0.0,professional_development,True,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,Fort Wayne Community Schools,4,will provide membership and enrollment information with new employee materials.,The Board,management,worker,will,False,active,plain,obligation,obligation,True,0.9,teacher_rights_and_conduct,True,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,Fort Wayne Community Schools,4,it shall be discussed informally with the building principal.,it,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,discipline,True,implicit agent is management
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,Fort Wayne Community Schools,4,The teacher may involve the Association’s building representative in the discussion at the teacher’s option.,The teacher,worker,worker,may,False,active,plain,permission,permission,True,0.3,discipline,True,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,Fort Wayne Community Schools,4,"the aggrieved party shall file a written grievance with the building principal or Employee Relations Department no later than seven school days after the occurrence that gave rise to the alleged grievance or after the aggrieved party became aware of the occurrence, whichever is later.",the aggrieved party,worker,worker,shall,False,active,plain,obligation,obligation,True,1.0,discipline,True,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,Fort Wayne Community Schools,4,"the parties shall meet to review it, gather facts and discuss possible resolution.",the parties,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,discipline,True,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,Fort Wayne Community Schools,4,a written answer with copies to all concerned shall be returned within five (5) school days of the meeting.,a written answer with copies to all concerned,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,discipline,True,implicit agent is management
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,Fort Wayne Community Schools,4,the grievance shall advance to the next step.,the grievance,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,discipline,True,inanimate subject
