# Fort_Wayne_Community_Schools_2021-2023.pdf — APPENDIX B - Cocurricular and Athletic Positions ()
# population: Cocurricular and athletic coaches/staff | is_teacher_schedule: False
"# validation_warnings: no lane columns extracted — verify this is truly a single-column table (step → value only, with no separate degree, year, or category columns) | audit confirmed"
step,value
Head Football Coach,8540
Assistant Football Coach,3920
Girls Basketball Coach,8540
Boys Basketball Coach,8540
Girls Assistant Basketball Coach,3920
Boys Assistant Basketball Coach,3920
Head Volleyball Coach,4340
Assistant Volleyball Coach,3050
Wrestling Coach,4340
Assistant Wrestling Coach,3050
Baseball Coach,4340
Assistant Baseball Coach,3050
Softball Coach,4340
Assistant Softball Coach,3050
Girls Tennis Coach,4340
Boys Tennis Coach,4340
Assistant Girls Tennis Coach,3050
Assistant Boys Tennis Coach,3050
Girls Cross Country Coach,4340
Boys Cross Country Coach,4340
Girls Assistant Cross Country Coach,3050
Boys Assistant Cross Country Coach,3050
Girls Track Coach,4340
Boys Track Coach,4340
Girls Assistant Track Coach,3050
Boys Assistant Track Coach,3050
Girls Soccer Coach,4340
Boys Soccer Coach,4340
Girls Assistant Soccer Coach,3050
Boys Assistant Soccer Coach,3050
Gymnastics Coach,4340
Assistant Gymnastics Coach,3050
Girls Swimming Coach,4340
Boys Swimming Coach,4340
Assistant Swim (Dive) Coach,3050
Girls Golf Coach,4340
Boys Golf Coach,4340
Assistant Girls Golf Coach,3050
Assistant Boys Golf Coach,3050
Head eSports Coach,4340
Assistant eSports Coach,3050
Champions Together,4340
Champions Together Assistant,3050
Academic Competition Coach,1400
