document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,Indianapolis Public Schools,2,Each teacher shall annually be granted 21 hours for personal leave.,Each teacher,management,worker,shall,False,passive,rights_passive,right,right,True,1.0,leave,True,
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,Indianapolis Public Schools,2,This time shall be used for any purpose at the discretion of the teacher,This time,other,worker,shall,False,passive,plain,obligation,permission,False,1.0,leave,True,
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,Indianapolis Public Schools,2,may be taken in time periods of not less than one hour increments.,This time,other,worker,may,False,passive,plain,permission,permission,True,0.3,leave,True,Elliptical subject from preceding clause.
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,Indianapolis Public Schools,2,No reason must be given other than personal business.,No reason,other,worker,must,True,passive,plain,prohibition,prohibition,True,1.0,leave,True,
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,Indianapolis Public Schools,2,Teachers shall be given an accounting of their unused personal leave time on each paycheck advice.,Teachers,management,worker,shall,False,passive,rights_passive,right,right,True,1.0,leave,True,
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,Indianapolis Public Schools,2,Unused personal leave time shall be added to accumulated sick leave at the end of the school year up to the maximum for sick leave accumulation.,Unused personal leave time,other,worker,shall,False,passive,plain,obligation,right,False,1.0,leave,True,
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,Indianapolis Public Schools,2,the teacher shall be permitted to carry over and accumulate unused personal time,the teacher,worker,worker,shall,False,active,permission_verb,permission,permission,True,1.0,leave,True,Truncated at the end of the chunk.
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,Indianapolis Public Schools,3,the teacher shall be permitted to carry over and accumulate unused personal time up to a maximum of 28 hours of personal leave time,the teacher,management,worker,shall,False,passive,permission_verb,permission,permission,True,1.0,leave,True,
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,Indianapolis Public Schools,3,any unused personal leave time beyond the 28 hours shall be added to accumulated sick leave.,any unused personal leave time beyond the 28 hours,management,worker,shall,False,passive,plain,obligation,right,False,1.0,leave,True,
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,Indianapolis Public Schools,3,Any teacher who is initially contracted on or after the first day of the second semester of any school year shall be entitled to one-half (½) of the foregoing annual amount of personal leave for that school year.,Any teacher who is initially contracted on or after the first day of the second semester of any school year,management,worker,shall,False,passive,rights_passive,right,right,True,1.0,leave,True,
