document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,Mesa Public Schools,3,Seniority shall be computed from an employee’s most recent date of employment.,Seniority,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,seniority,True,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,Mesa Public Schools,3,Part-time employment shall be included on a pro-rata basis.,Part-time employment,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,seniority,True,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,Mesa Public Schools,3,"For teachers new to teaching (TNT), seniority shall be computed from the most recent date of employment, excluding any days of TNT training prior to the start of the school year.",seniority,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,seniority,True,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,Mesa Public Schools,3,"When the District is filling part-time positions and all factors are considered equal by the unit administrator, an employee's seniority as a part-time employee shall be the determining factor in filling the vacancy.",an employee's seniority as a part-time employee,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,seniority,True,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,Mesa Public Schools,3,Part-time employees have no guarantee of continued employment beyond that provided in statute.,Part-time employees,worker,management,,False,active,plain,other,other,True,0.0,job_security,True,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,Mesa Public Schools,3,Time spent out of the District on an authorized leave of absence shall neither add to nor interrupt an employee's seniority.,Time spent out of the District on an authorized leave of absence,other,worker,shall,True,active,plain,prohibition,prohibition,True,1.0,seniority,True,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,Mesa Public Schools,3,"In the event two or more teachers began work on the same date, their seniority rank shall be determined by the date on which their employment contracts were ratified by the Board.",their seniority rank,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,seniority,True,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,Mesa Public Schools,4,Within twenty (20) working days of the request the MEA president will recommend names of individuals to the Superintendent for consideration of appointment for all classroom teacher positions on district committees which directly affect teachers.,the MEA president,worker,worker,will,False,active,plain,obligation,obligation,True,0.9,teacher_rights_and_conduct,True,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,Mesa Public Schools,4,"Failure to respond within this time limit will result in appointments being made by the Superintendent, unless an extension of the time limit is agreed to by both parties.",Failure to respond within this time limit,other,management,will,False,active,plain,obligation,obligation,True,0.9,teacher_rights_and_conduct,True,Contains a dependent conditional clause; main operative clause extracted.
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,Mesa Public Schools,4,Any district employee or group of employees may submit names of employees to be considered for appointment to committees for consideration by the Superintendent.,Any district employee or group of employees,worker,worker,may,False,active,plain,permission,permission,True,0.3,teacher_rights_and_conduct,True,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,Mesa Public Schools,4,"The employee association that represents teachers in the Meet and Confer process, will select one-half (1/2) of the committee membership unless committee membership is specifically identified in this article.",The employee association that represents teachers in the Meet and Confer process,worker,worker,will,False,active,plain,obligation,obligation,True,0.9,teacher_rights_and_conduct,True,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,Mesa Public Schools,4,Each principal and director selection committee shall include at least one (1) teacher member appointed from a list of three (3) names submitted by the association president.,Each principal and director selection committee,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,teacher_rights_and_conduct,True,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,Mesa Public Schools,4,The Superintendent agrees to inform the association whenever a temporary committee is formed to review curriculum and the names of the individuals appointed to serve on each committee.,The Superintendent,management,worker,,False,active,plain,other,obligation,False,0.0,teacher_rights_and_conduct,True,Operative verb is 'agrees to inform'.
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,Mesa Public Schools,4,"For the committees listed below, one member of each shall be designated to inform the Superintendent and the MEA president of the committee’s meeting schedule and to transmit committee minutes to the Superintendent and the MEA president.",one member of each,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,teacher_rights_and_conduct,True,Passive construction; implicit agent for designation is management/district.
