# 39-05.pdf — 2005-2006 TRANSITION SALARY SCHEDULE (2005-2006)
# population: Teachers and Nurses employed prior to the 1996-97 school year | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,B.A.,BA+15,BA+30,BA+45 MA,MA+15,MA+30,MA+45 Ed.S,MA+ 60,MA+75 Ed.D. Ph.D.
3 / 0.00,"31,677","32,698","33,716","34,736","35,754","36,772","37,793","38,812","39,832"
3 / 0.50,"32,135","33,156","34,174","35,193","36,212","37,231","38,250","39,269","40,290"
4 / 0.00,"32,593","33,612","34,632","35,652","36,670","37,689","38,708","39,728","40,748"
4 / 0.50,"33,204","34,223","35,243","36,263","37,281","38,299","39,320","40,338","41,358"
5 / 0.00,"33,815","34,836","35,854","36,872","37,892","38,911","39,932","40,950","41,969"
5 / 0.50,"34,432","35,452","36,471","37,490","38,509","39,528","40,548","41,567","42,586"
6 / 0.00,"35,051","36,067","37,085","38,106","39,126","40,144","41,165","42,183","43,204"
6 / 0.50,"35,532","36,700","37,718","38,740","39,757","40,778","41,796","42,815","43,834"
7 / 0.00,"36,017","37,332","38,352","39,370","40,388","41,409","42,426","43,448","44,466"
7 / 0.50,,"38,249","39,269","40,289","41,308","42,328","43,347","44,366","45,384"
8 / 0.00,,"39,169","40,188","41,207","42,225","43,245","44,266","45,283","46,303"
8 / 0.50,,"39,711","41,108","42,125","43,145","44,165","45,184","46,202","47,223"
9 / 0.00,,"40,255","42,024","43,042","44,063","45,082","46,102","47,121","48,141"
9 / 0.50,,,"43,259","44,279","45,299","46,318","47,337","48,356","49,376"
10 / 0.00,,,"44,494","45,513","46,534","47,553","48,573","49,592","50,610"
10 / 0.50,,,"45,112","46,749","47,769","48,787","49,807","50,825","51,846"
11 / 0.00,,,"45,727","47,985","49,003","50,023","51,041","52,062","53,081"
11 / 0.50,,,,"49,218","50,239","51,257","52,278","53,299","54,316"
12 / 0.00,,,,"50,454","51,475","52,492","53,513","54,532","55,551"
12 / 0.50,,,,"51,153","52,909","53,926","54,947","55,965","56,987"
13 / 0.00,,,,"51,850","54,342","55,361","56,381","57,398","58,420"
13 / 0.50,,,,"52,555","55,096","56,129","57,951","58,968","59,986"
14 / 0.00,,,,,"55,847","56,895","59,520","60,539","61,558"
14 / 0.50,,,,,"56,607","57,669",,,
15 / 0.00,,,,,,,"61,169","62,215","63,261"
Longevity A,,,,,,,"62,392","63,459","64,526"
Longevity B,,,,,,,"63,616","64,704","65,791"
Longevity C,,,,,,,"64,839","65,948","67,057"
