# 39-05.pdf — PROVISIONS FOR TRANSITION SALARY SCHEDULE (2005-2006)
# population: School Psychologists and Speech/Language Pathologists | is_teacher_schedule: False
# validation_warnings: duplicate step_labels: ['0.5'] | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,School Psych. Certificate,MA+45,MA+60,MA+75 PhD/EdD
1,44578,45660,46743,47828
0.5,61393,62476,63559,64643
2,46166,47249,48333,49416
0.5,61393,62476,63559,64643
3,48124,49206,50289,51374
0.5,61393,62476,63559,64643
4,50079,51162,52246,53330
0.5,61393,62476,63559,64643
5,52705,53788,54869,55954
0.5,61393,62476,63559,64643
6,55328,56413,57495,58579
0.5,61393,62476,63559,64643
7,57955,59037,60121,61205
0.5,61393,62476,63559,64643
8,59559,60669,61785,62898
0.5,61393,62476,63559,64643
Longevity A,,61882,63021,64156
Longevity B,,63096,64256,65414
Longevity C,,64309,65492,66672
