document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,1,This Agreement will be for a period as specified in the Duration of Agreement Article;,This Agreement,other,management,will,False,active,plain,obligation,other,False,0.9,other,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,2,negotiations concerned with the terms of this Agreement will not be reopened during that time except by mutual written agreement of the parties.,negotiations concerned with the terms of this Agreement,management,management,will,True,passive,plain,prohibition,prohibition,True,0.9,other,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,2,Neither party in any negotiations will have any control over the selection of the negotiating representatives of the other party.,Neither party in any negotiations,other,worker,will,True,active,plain,prohibition,prohibition,True,0.9,other,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,2,"The parties mutually pledge that their representatives will be clothed with all necessary power and authority to make proposals, consider proposals, and make counterproposals in the course of negotiations.",The parties,other,worker,will,False,active,obligation_verb,obligation,obligation,True,0.9,other,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,2,the Board negotiating team will not have the authority to bind the Board,the Board negotiating team,management,worker,will,True,active,plain,prohibition,prohibition,True,0.9,other,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,2,all agreements will be subject to final approval of the Board of Education.,all agreements,management,management,will,False,passive,plain,obligation,obligation,True,0.9,other,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,2,"During the term of the Agreement, neither party will be required to negotiate with respect to any such matter whether or not covered by this Agreement and whether or not within the knowledge or contemplation of either or both of the parties at the time they negotiated or executed this Agreement.",neither party,other,management,will,True,active,obligation_verb,right,right,True,0.9,other,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,2,This Agreement will not be modified in whole or in part by the parties except by an instrument in writing duly executed by both parties.,This Agreement,other,worker,will,True,passive,plain,prohibition,prohibition,True,0.9,other,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,2,"The parties agree to enter into negotiations over a successor Agreement pursuant to and consistent with Chapter 40, Title 14, Delaware Code.",The parties,other,worker,,False,active,obligation_verb,obligation,obligation,True,0.85,other,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,2,Such negotiations will begin no later than six (6) months prior to the expiration of this Agreement.,Such negotiations,other,management,will,False,active,plain,obligation,obligation,True,0.9,other,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,2,"Any agreement so negotiated will be reduced to writing, be submitted for ratification by the Association and approval by the Board, and be signed by the President of the Association, the Chairperson of the Professional Negotiations Committee of the Association, the President of the Board, and the Executive Secretary of the Board.",Any agreement so negotiated,worker,management,will,False,passive,plain,obligation,obligation,True,0.9,other,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,3,"Both parties agree that these proceedings, if utilized, will be kept confidential",Both parties,other,management,will,False,active,plain,obligation,obligation,True,0.9,other,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,3,the Board will provide the Association with copies of all grievances and written decisions at each level.,the Board,management,worker,will,False,active,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,3,No grievance may be changed after its formal presentation;,No grievance,management,management,may,True,passive,plain,prohibition,prohibition,True,0.3,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,3,"however, the grievance may be amended with respect to cited provision following the decision rendered at Level One of the grievance procedure",the grievance,management,worker,may,False,passive,plain,permission,permission,True,0.3,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,3,and will be considered timely filed if resubmitted at Level One within ten (10) days of the initial response.,the grievance,management,worker,will,False,passive,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,3,All grievances should be processed as rapidly as possible;,All grievances,management,worker,should,False,passive,plain,obligation,obligation,True,0.7,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,3,"the number of days indicated at each level will be considered a maximum,",the number of days indicated at each level,management,worker,will,False,passive,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,3,and every effort will be made at each level to expedite the process.,every effort,management,worker,will,False,passive,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,3,"The time limit specified may, however, be extended by mutual written agreement.",The time limit specified,other,management,may,False,passive,plain,permission,permission,True,0.3,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,3,Failure at any level of this procedure to communicate the decision on a grievance within the specified time limits will constitute authority for the grievant to proceed to the next level.,Failure at any level of this procedure to communicate the decision on a grievance within the specified time limits,management,worker,will,False,active,plain,obligation,right,False,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,4,Failure at any level of this procedure to appeal a grievance to the next level within the specified time limits will be deemed to be acceptance of the decision rendered at that level.,Failure at any level of this procedure to appeal a grievance to the next level within the specified time limits,other,management,will,False,passive,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,4,the grievance will commence at a level appropriate to the occasion giving rise to the grievance.,the grievance,other,management,will,False,active,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,4,The grievant is encouraged to meet with the principal or his/her immediate supervisor or applicable District office personnel with the objective of resolving the matter informally.,The grievant,worker,management,,False,passive,plain,other,other,True,0.0,discipline,True,Non-binding procedural recommendation
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,4,The grievant will set forth his/her grievance in writing as provided in Section 3:4 within fifteen (15) days from the date the employee was aggrieved.,The grievant,worker,management,will,False,active,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,4,"Within ten (10) days of receipt of the written grievance, the principal or other immediate supervisor will communicate in writing to the grievant his/her decision and the reason for the decision.",the principal or other immediate supervisor,management,worker,will,False,active,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,4,"The grievant, not later than five (5) days after being notified that the decision has been rendered may appeal the decision to the Director of Human Resources or designee.",The grievant,worker,worker,may,False,active,plain,permission,right,False,0.3,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,4,The basis for the employee's continued dissatisfaction will be delineated.,The basis for the employee's continued dissatisfaction,other,management,will,False,passive,plain,obligation,obligation,True,0.9,discipline,True,Implicit agent likely management per context
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,4,The Director of Human Resources or designee may hold an informal grievance hearing within ten (10) days after receiving the grievance.,The Director of Human Resources or designee,management,management,may,False,active,plain,permission,permission,True,0.3,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,4,A decision in writing will be rendered to the grievant within five (5) days of the hearing.,A decision in writing,other,worker,will,False,passive,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,4,"he/she may, within five (5) days after being notified that the decision has been rendered, appeal the decision to the Superintendent or designee.",he/she,worker,worker,may,False,active,plain,permission,permission,True,0.3,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,4,The Superintendent or designee will hold an informal grievance hearing within ten (10) days after receiving the grievance.,The Superintendent or designee,management,worker,will,False,active,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,4,The Superintendent or designee will communicate the decision in writing to the grievant within five (5) days after the date of the hearing.,The Superintendent or designee,management,worker,will,False,active,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,4,The decision of the Superintendent (or designee) will finally determine the matter unless the Association notifies the Superintendent in writing fifteen (10) calendar days of a demand for arbitration which will state in reasonable detail the nature of the dispute and the remedy sought.,The decision of the Superintendent (or designee),other,worker,will,False,active,plain,obligation,other,False,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,4,Representatives for the Association and District shall confer to select an arbitrator.,Representatives for the Association and District,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,discipline,True,Joint parties
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,5,the selection of an arbitrator shall be through the Philadelphia Office of the American Arbitration Association in Accordance with its rules of Voluntary Labor Arbitration.,the selection of an arbitrator,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,5,The Association will represent the grievant at the arbitration hearing.,The Association,worker,worker,will,False,active,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,5,Disputes concerning claims related to the following shall not be processed to arbitration:,Disputes concerning claims related to the following,other,management,shall,True,passive,plain,prohibition,prohibition,True,1.0,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,5,grievances concerning the evaluation process may be grieved to binding arbitration.,grievances concerning the evaluation process,other,worker,may,False,passive,plain,permission,permission,True,0.3,evaluation,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,5,"Items (a) through (f) above, although not arbitrable, will be appealable through the grievance procedure to the Board within fifteen (15) days of the Superintendent’s decision which will at its option hold a hearing concerning the matter or determine the matter on the basis of the written records.","Items (a) through (f) above, although not arbitrable",other,worker,will,False,passive,plain,obligation,other,False,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,5,The Board will render its decision within thirty (30) days of the date of the filing of the appeal to the Board.,The Board,management,worker,will,False,active,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,5,a separate hearing shall be held with an arbitrator,a separate hearing,other,worker,shall,False,passive,plain,obligation,obligation,True,1.0,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,5,whose fees and expenses shall be paid by the losing party.,whose fees and expenses,other,worker,shall,False,passive,plain,obligation,obligation,True,1.0,discipline,True,agent specified as 'losing party' (indeterminate between worker/management)
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,5,The arbitrator selected will hold hearings promptly,The arbitrator selected,other,worker,will,False,active,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,5,"and will issue a decision not later than thirty (30) workdays from the date of the close of the hearings or, if oral hearings have been waived, then from the date the final statements and proofs on the issues are submitted.",[implied: The arbitrator selected],other,worker,will,False,active,plain,obligation,obligation,True,0.9,discipline,True,subject elided in original text
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,5,The arbitrator's decision will be in writing,The arbitrator's decision,other,worker,will,False,active,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,5,"and will set forth the findings of fact, reasoning, and conclusions on the issues submitted.",[implied: The arbitrator's decision],other,worker,will,False,active,plain,obligation,obligation,True,0.9,discipline,True,subject elided in original text
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,5,The arbitrator will be without power or authority to make any decision which requires the commission of a,The arbitrator,other,management,will,False,active,plain,obligation,prohibition,False,0.9,discipline,True,clause truncated at end of chunk
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,6,"will set forth the findings of fact, reasoning, and conclusions on the issues submitted.",The arbitrator's decision,other,worker,will,False,active,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,6,The arbitrator will be without power or authority to make any decision which requires the commission of an act prohibited by law or which violates this Agreement,The arbitrator,other,management,will,False,active,plain,obligation,prohibition,False,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,6,and will confine the opinion to the particular issue submitted.,The arbitrator,other,management,will,False,active,plain,obligation,prohibition,False,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,6,The arbitrator's decision will be final and binding.,The arbitrator's decision,other,management,will,False,active,plain,obligation,obligation,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,6,"The arbitrator, in the written opinion, will not amend, modify, nullify, ignore, or add to the provisions of the Agreement.",The arbitrator,other,management,will,True,active,plain,prohibition,prohibition,True,0.9,discipline,True,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,6,The opinion must be based solely and only upon his/her interpretation of the meaning or application of the express relevant language of the Agreement.,The opinion,other,management,must,False,passive,plain,obligation,obligation,True,1.0,discipline,True,Passive construction; implicit agent is arbitrator.
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,6,"The cost for the services of the arbitrator, including per diem expenses, if any, and actual and necessary travel, subsistence expenses, and the cost of the hearing room will be borne equally by the Board and the Association.","The cost for the services of the arbitrator, including per diem expenses, if any, and actual and necessary travel, subsistence expenses, and the cost of the hearing room",worker,worker,will,False,passive,plain,obligation,obligation,True,0.9,discipline,True,Explicit agents: Board and Association (shared responsibility).
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,Red Clay Consolidated School District,6,Any other expenses incurred will be paid by the party incurring same.,Any other expenses incurred,other,worker,will,False,passive,plain,obligation,obligation,True,0.9,discipline,True,Implicit agent varies (party incurring expense).
