# Red_Clay_2011-2014.pdf — APPENDIX A LOCAL TEACHER SALARY SCHEDULE (Fiscal Year 12)
# population: local teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,ND,B,B15,B30,M,M15,M30,M45,D
1,8126,10936,11058,11375,11783,12462,14087,14899,15985
2,9209,11514,11783,12323,12597,13546,15168,15985,17067
3,10294,12462,12736,13274,13546,14629,16252,17067,18150
4,11106,13407,13678,14226,14492,15712,17335,18150,19232
5,12188,14358,14629,15168,15439,16794,18419,19232,20313
6,13274,15304,15579,16120,16389,17879,19502,20313,21399
7,14358,16252,16523,17067,17335,18959,20586,21399,22485
8,15439,17202,17473,18015,18287,20047,21667,22485,23567
9,16252,18150,18419,18959,19232,21129,22752,23567,24648
10,17067,19099,19374,19910,20181,22210,23835,24648,25733
11,17879,20047,20313,20861,21129,23293,24921,25733,26814
12,18959,21129,21399,21941,22752,24921,26546,27362,28443
13,20047,22210,22485,23026,24379,26546,28172,28986,30069
14,21129,23293,23567,24107,26002,28172,29798,30612,31696
15,22210,24379,24648,25192,27631,29798,31421,32236,33316
16,22752,25871,26143,26967,30195,32308,33426,33998,34943
17,22752,25871,26143,26967,30195,32308,33426,33998,34943
