# Red_Clay_2011-2014.pdf — APPENDIX B LOCAL TEACHER SALARY SCHEDULE (FISCAL YEAR 13)
# population: local teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,ND,B,B15,B30,M,M15,M30,M45,D
1,8289,11155,11279,11603,12018,12711,14368,15197,16304
2,9393,11745,12018,12570,12849,13817,15471,16304,17409
3,10500,12711,12991,13539,13817,14921,16577,17409,18513
4,11328,13675,13952,14510,14782,16027,17682,18513,19617
5,12432,14645,14921,15471,15747,17129,18788,19617,20720
6,13539,15610,15891,16442,16717,18236,19892,20720,21827
7,14645,16577,16853,17409,17682,19338,20997,21827,22935
8,15747,17546,17823,18375,18653,20448,22100,22935,24038
9,16577,18513,18788,19338,19617,21552,23207,24038,25141
10,17409,19481,19762,20309,20585,22654,24311,25141,26248
11,18236,20448,20720,21278,21552,23759,25420,26248,27350
12,19338,21552,21827,22379,23207,25420,27077,27909,29012
13,20448,22654,22935,23486,24867,27077,28735,29566,30670
14,21552,23759,24038,24589,26523,28735,30394,31224,32330
15,22654,24867,25141,25696,28184,30394,32049,32881,33982
16,23207,26388,26666,27506,30799,32954,34094,34678,35642
17,23207,26388,26666,27506,30799,32954,34094,34678,35642
