# Red_Clay_2011-2014.pdf — APPENDIX C *LOCAL TEACHER SALARY SCHEDULE* (FISCAL YEAR 14)
# population: teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,ND,B,B15,B30,M,M15,M30,M45,D
1,8455,11378,11505,11835,12259,12966,14656,15501,16631
2,9581,11980,12259,12821,13106,14093,15780,16631,17757
3,10710,12966,13250,13810,14093,15220,16908,17757,18883
4,11554,13949,14231,14800,15078,16347,18036,18883,20009
5,12681,14938,15220,15780,16062,17472,19164,20009,21134
6,13810,15922,16208,16771,17051,18601,20290,21134,22263
7,14938,16908,17190,17757,18036,19724,21417,22263,23394
8,16062,17897,18179,18743,19026,20857,22542,23394,24519
9,16908,18883,19164,19724,20009,21983,23671,24519,25643
10,17757,19871,20157,20715,20997,23108,24798,25643,26773
11,18601,20857,21134,21704,21983,24234,25928,26773,27897
12,19724,21983,22263,22827,23671,25928,27618,28467,29592
13,20857,23108,23394,23956,25364,27618,29310,30157,31283
14,21983,24234,24519,25081,27053,29310,31001,31849,32976
15,23108,25364,25643,26210,28747,31001,32690,33539,34662
16,23671,26916,27199,28057,31415,33613,34776,35372,36355
17,23671,26916,27199,28057,31415,33613,34776,35372,36355
