document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,TERMS AND CONDITIONS OF PROFESSIONAL EMPLOYMENT Agreement between the Saint Paul Board of Education and the Saint Paul Federation of Teachers,2,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2009 through June 30, 2011","July 1, 2009 through June 30, 2011",2,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,Teachers / Teacher Bargaining Unit,Members of the Teacher Bargaining Unit,2,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,This joint agreement continues the work that began in the 2002-2003 agreement,4,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,N/A,2,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"Minnesota Statutes Chapter 179A, as amended, inclusive (hereinafter referred to as PELRA)",5,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"1. ""This Agreement, entered into between the Board of Education of Independent School District No. 625, Saint Paul, Minnesota (hereinafter referred to as the Board), and the Saint Paul Federation of Teachers Local No. 28, AFT (hereinafter referred to as the Federation), pursuant to and in compliance with the Public Employment Labor Relations Act of 1971, Minnesota Statutes Chapter 179A, as amended, inclusive (hereinafter referred to as PELRA), has as its purpose the provision of the terms and conditions of employment for teachers for duration of this Agreement.""
2. ""The appropriate unit shall consist of all teachers of Independent School District No. 625, Saint Paul, Minnesota, as defined in Minnesota Statute (M.S.) §179A.03, Subd. 18, employed in a position for which the person must be licensed by the Minnesota Department of Education (DOE), including those on leave of absence who are guaranteed a position upon their return, excluding the following employees: supervisory employees, confidential employees, superintendents, principals and assistant principals who devote more than 50% of their time to administrative and supervisory duties; any paraprofessional educational assistant or teaching assistant positions whether or not they are required to hold a certificate of license issued by the Minnesota DOE, and all other employees.""
3. ""The Board is not required to meet and negotiate on matters of inherent managerial policy, which include, but are not limited to, such areas of discretion or policy as the functions and programs of the employers, its overall budget, utilization of technology, the organizational structure and selection and direction and number of personnel as outlined in PELRA, M.S. §179A.07, Subd. 1 and 2.""","Minnesota Statutes Chapter 179A; M.S. §179A.03, Subd. 18; M.S. §179A.07, Subd. 1 and 2","5, 6",high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","Effective January 1, 1999, employee benefits will be offered to eligible employees through a Cafeteria Plan qualified under IRS Codes §105, §125, and §129.
Federal and state rules governing participation in the Minnesota Deferred Compensation Plan or a District-approved 403(b) plan shall apply. The employee, not the District, is solely responsible for determining his/her total maximum allowable annual contribution amount under IRS regulations.
This program will be in compliance with IRS Code §105, §125 and §129 and will be administered as part of the cafeteria benefits plan (see Article 10, Section 1, Subd. 4).","Effective January 1, 1999, employee benefits will be offered to eligible employees through a Cafeteria Plan qualified under IRS Codes §105, §125, and §129.",17,high,"Document text truncated after page 13. Preserved as per instruction: verbatim evidence was provided and genuinely supports the answer, so it is not blanked."
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,"IRS Codes §105, §125, and §129; IRS regulations.","IRS Codes §105, §125, and §129",17,high,Document text truncated. Preserved as per instruction: verbatim evidence supports the answer.
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,Yes. Schedule title: Basic Salary Schedules (Schedules A-1 of Appendix A). Covered year: 2009-2010 and 2010-2011 school years. Covered employee group: Teachers (Teacher Bargaining Unit). Page/Appendix: Appendix A (listed as page 49 in TOC).,"The salaries reported in Schedules A-1 of Appendix A shall be a part of this Agreement for the 2009-2010 and 2010-2011 school years, respectively.",9,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,2009-2010 and 2010-2011 school years.,"The salaries reported in Schedules A-1 of Appendix A shall be a part of this Agreement for the 2009-2010 and 2010-2011 school years, respectively.",9,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,"Yes. Advancement occurs at the beginning of the school year. Teachers advance one full step if paid for a minimum of 100 days (800 hours full-time, prorated for part-time). Performance conditions apply: if on an improvement plan, the year-end recommendation must state 'Meets or Exceeds Standards' or recommend extending the plan. Step increases withheld for 'Below Standards' ratings are granted retroactively once plan elements are fulfilled.","A contracted teacher will be advanced one full step on the salary schedule at the beginning of the school year provided the teacher was: • Paid on the payroll for a minimum of one hundred (100) days (eight hundred [800] hours) for full-time employment, prorated for less than full-time; • If on an improvement plan during that year, the year end recommendation on the appropriate improvement plan form states that the teacher’s overall performance now Meets or Exceeds Standards; or the principal/supervisor recommends extending the improvement plan into the next school year.",11,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,discussed_unclear,"Other factors may affect the actual step number at which a teacher is placed. These include, but are not limited to: • Incoming step credit for prior experience.",11,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",not_discussed,,not_discussed,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_performance_pay_007,compensation,How are teachers evaluated for purposes of performance-based pay eligibility?,not_discussed,,not_discussed,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_cost_of_living_007,compensation,Does the document specify across-the-board raises or COLA percentages?,not_discussed,,not_applicable,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_extra_duty_schedule_008,compensation,Does the document include an extra-duty or supplemental pay schedule?,yes,Schedule C-1 Extracurricular Non-Athletic ... Schedule C-2 Extracurricular Athletic ... Stipend 2009-11,52,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_hardtostaff_sped_009,compensation,"Does the document provide additional pay, stipends, or salary differentials for special education teachers?",yes,"Subd. 1. Special Education Summer School. A teacher employed in the special education summer school program shall be paid the same as the rate paid for ALC Summer School teachers defined in Subd. 2 of this section. Subd. 2. ALC Summer School Program. Effective Summer School 2008, a District contracted teacher whose step placement is Step 10 or higher in the school year immediately preceding summer school will earn $30.24 per hour. A District contracted teacher whose step placement is Step 9 or lower in the school year immediately preceding summer school and non-contracted teachers will earn $28.00 per hour.",14,high,"Stage 1 incorrectly coded as not_discussed. The document explicitly provides compensation rates for special education summer school teachers in Article 9, Section 7, Subd. 1, referencing the ALC summer school pay scales in Subd. 2. [recall-recovery]"
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_hardtostaff_stem_010,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in STEM subjects?",yes,"Mathematics Team Coach

Junior High School. $1,166

Senior High School
Mathematics Team Coach $2,097",53,high,"Revised from not_discussed to yes. The document explicitly lists stipend amounts for Mathematics Team Coach positions, which qualifies as additional pay/stipends for a STEM subject. [recall-recovery]"
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_hardtostaff_other_011,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in high-need subjects or schools other than special education or STEM?",not_discussed,,not_applicable,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_hardtostaff_schools_012,compensation,"Does the document provide incentives specifically for teaching in hard-to-staff, high-need, Title I, or priority schools, regardless of subject?",not_discussed,,not_applicable,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_experience_credit_indistrict_013,compensation,Does the document specify how prior in-district teaching experience is credited for initial salary placement?,discussed_unclear,“Years of experience” shall mean calendar years from July 1 through June 30 actively employed in the District.,12,medium,Document defines how in-district experience is calculated but does not explicitly state how it applies to initial salary placement.
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_experience_credit_outofdistrict_014,compensation,Does the document specify how out-of-district but in-state teaching experience is credited for salary placement?,not_discussed,,not_applicable,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_experience_credit_outofstate_015,compensation,Does the document specify how out-of-state teaching experience is credited for salary placement?,not_discussed,,not_applicable,high,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,pay_experience_credit_military_public_016,compensation,Does the document credit military service or other public service for salary placement?,not_discussed,,not_applicable,high,
