# St_Paul_Agreement_teacher.pdf — Salary Schedules (1/18/2010)
# population: certified teachers | is_teacher_schedule: True
"# validation_warnings: possible_dropped_row: step sequence 1-20 is missing step(s) [16, 17, 18, 19] — a row may have been lost; verify against source | audit confirmed"
step,BA,BA+15,BA+30,BA+45,BA+60/MA,MA+15,MA+30,MA+45,PEC,Phd/EdD
1,35674,35900,36298,36695,37509,38091,39059,40217,41374,42729
2,36325,36734,37142,37915,38671,39254,40217,41374,42537,43888
3,37198,37605,38184,38980,40404,40987,41956,43114,44273,45624
4*,38126,38705,39478,40446,42337,42916,43884,45046,46204,47557
5**,39966,40553,41331,42504,44769,45353,46328,47500,48669,50040
6,41449,42230,43205,44376,46794,47381,48354,49525,50696,52065
7,42817,43791,44769,45938,48871,49454,50430,51602,52776,54141
8,43538,44505,45470,46631,50463,51043,52009,53169,54330,55685
9,45589,46558,47523,48683,52601,53181,54148,55306,56467,57820
10,48492,49456,50422,51584,54747,55327,56297,57454,58615,59966
11,51208,52343,53287,54230,58581,59935,60900,62056,63219,64574
12,53222,54404,55385,56366,63557,64616,66001,67793,69180,72116
13,53497,54679,55660,56641,66070,67172,68612,70477,71920,74974
14,53773,54954,55935,56916,66345,67447,68887,70753,72195,75249
15-19,55945,57167,58185,59201,70238,71380,72872,74804,76298,79461
20,57959,59193,60221,61248,73556,74710,76217,78168,79677,82872
*25-YEAR,58459,59693,60721,61748,74756,75910,77417,79368,80877,84072
