# St_Paul_Agreement_teacher.pdf — Salary Schedules (7/1/2009)
# population: certified teachers | is_teacher_schedule: True
"# validation_warnings: possible_dropped_row: step sequence 1-20 is missing step(s) [16, 17, 18, 19] — a row may have been lost; verify against source | audit confirmed"
step,BA,BA+15,BA+30,BA+45,BA+60/MA,MA+15,MA+30,MA+45,SPEC,Phd/EdD
1,34674,34900,35298,35695,36509,37091,38059,39217,40374,41729
2,35325,35734,36142,36915,37671,38254,39217,40374,41537,42888
3,36198,36605,37184,37980,39404,39987,40956,42114,43273,44624
4*,37126,37705,38478,39446,41337,41916,42884,44046,45204,46557
5,38966,39553,40331,41504,43769,44353,45328,46500,47669,49040
6,40449,41230,42205,43376,45794,46381,47354,48525,49696,51065
7,41817,42791,43769,44938,47871,48454,49430,50602,51776,53141
8,42538,43505,44470,45631,49463,50043,51009,52169,53330,54685
9,44589,45558,46523,47683,51601,52181,53148,54306,55467,56820
10,47492,48456,49422,50584,53747,54327,55297,56454,57615,58966
11,50208,51343,52287,53230,57581,58935,59900,61056,62219,63574
12,52222,53404,54385,55366,62557,63616,65001,66793,68180,71116
13,52497,53679,54660,55641,65070,66172,67612,69477,70920,73974
14,52773,53954,54935,55916,65345,66447,67887,69753,71195,74249
15-19,54945,56167,57185,58201,69238,70380,71872,73804,75298,78461
20,56395,57617,58635,59651,71838,72980,74472,76404,77898,81061
*25-YEAR,56895,58117,59135,60151,73038,74180,75672,77604,79098,82261
