# St_Paul_Agreement_teacher.pdf — Salary Schedules (Continued) (Effective 1/17/2011)
# population: certified teachers | is_teacher_schedule: True
"# validation_warnings: possible_dropped_row: step sequence 1-20 is missing step(s) [16, 17, 18, 19] — a row may have been lost; verify against source | audit confirmed"
step,BA,BA+15,BA+30,BA+45,BA+60/MA,MA+15,MA+30,MA+45,SPEC,Phd/EdD
1,36031,36259,36661,37062,37884,38472,39450,40619,41788,43156
2,36688,37101,37513,38294,39058,39647,40619,41788,42962,44327
3,37570,37981,38566,39370,40808,41397,42376,43545,44716,46080
4,38507,39092,39873,40850,42760,43345,44323,45496,46666,48033
5**,40366,40959,41744,42929,45217,45807,46791,47975,49156,50540
6,41863,42652,43637,44820,47262,47855,48838,50020,51203,52586
7,43245,44229,45217,46397,49360,49949,50934,52118,53304,54682
8,43973,44950,45925,47097,50968,51553,52529,53701,54873,56242
9,46045,47024,47998,49170,53127,53713,54689,55859,57032,58398
10,48977,49951,50926,52100,55294,55880,56860,58029,59201,60566
11,51720,52866,53820,54772,59167,60534,61509,62677,63851,65220
12,53754,54948,55939,56930,64193,65262,66661,68471,69872,72837
13,54032,55226,56217,57207,66731,67844,69298,71182,72639,75724
14,54311,55504,56494,57485,67008,68121,69576,71461,72917,76001
15-19,56504,57739,58767,59793,70940,72094,73601,75552,77061,80256
20,58832,60084,61129,62170,74664,75835,77364,79345,80877,84119
*25-YEAR,59332,60584,61629,62670,75864,77035,78564,80545,82077,85319
