P04   33.pdf   page 689
title          : TEACHERASSISTANTS STEPS GRADE EMPLOYEE DAYS GROUP OVER
employee_group : (not labelled - SOM endpoint was down)
cells          : 312
Vision agree   : 0.872

step                             1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23         MAX
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
7 TEACHER 185               17,542      17,870      18,317      18,662      19,145      19,508      20,017      20,402      20,942      21,357      21,756      22,183      22,613      23,064      23,520      23,988      24,990      25,504      25,998      26,570      27,126      27,682      28,260      28,810
10 TEACHER 215              20,954      21,373      21,949      22,369      22,980      23,450      24,097      24,568      25,057      25,581      26,087      26,629      27,170      27,729      28,288      28,882      30,138      30,768      31,431      32,025      32,706      33,404      34,138      34,804
12 TEACHER 185              18,677      19,031      19,523      19,897      20,419      20,816      21,371      21,791      22,377      22,821      23,265      23,731      24,199      24,692      25,181      25,697      26,779      27,336      27,902      28,503      29,101      29,715      30,342      30,933
18 TEACHER 185              20,121      20,509      21,054      21,466      22,040      22,478      23,092      23,556      24,199      24,692      25,181      25,697      26,211      26,753      27,295      27,863      29,056      29,667      30,294      30,892      31,550      32,224      32,916      33,558
18 TEACHER 195              21,182      21,591      22,165      22,599      23,205      23,666      24,313      24,803      25,480      25,999      26,515      27,060      27,600      28,172      28,744      29,342      30,599      31,243      31,904      32,535      33,229      33,939      34,668      35,345
18 TEACHER 205              22,242      22,672      23,276      23,732      24,369      24,854      25,534      26,049      26,761      27,307      27,850      28,422      28,990      29,591      30,192      30,821      32,143      32,820      33,515      34,178      34,907      35,654      36,421      37,132
18 TEACHER 215              23,303      23,754      24,387      24,865      25,533      26,042      26,755      27,295      28,042      28,614      29,184      29,784      30,380      31,010      31,640      32,300      33,686      34,397      35,125      35,820      36,586      37,369      38,173      38,919
18 TEACHER 225              24,364      24,835      25,498      25,999      26,698      27,230      27,976      28,541      29,323      29,922      30,518      31,146      31,770      32,429      33,089      33,779      35,230      35,973      36,736      37,463      38,264      39,083      39,924      40,705
19 ASSISTANT IV 185         20,710      21,109      21,670      22,095      22,686      23,137      23,769      24,248      24,910      25,417      25,922      26,453      26,982      27,541      28,099      28,684      29,912      30,542      31,188      31,804      32,482      33,176      33,888      34,550
19 ASSISTANT IV 195         21,802      22,223      22,814      23,262      23,886      24,361      25,027      25,532      26,229      26,764      27,296      27,856      28,413      29,002      29,591      30,207      31,502      32,166      32,847      33,496      34,211      34,942      35,693      36,390
19 ASSISTANT IV 205         22,895      23,337      23,959      24,429      25,085      25,584      26,285      26,815      27,548      28,111      28,670      29,259      29,845      30,464      31,083      31,731      33,092      33,790      34,505      35,188      35,939      36,708      37,498      38,231
19 ASSISTANT IV 215         23,987      24,451      25,103      25,596      26,284      26,808      27,543      28,099      28,868      29,458      30,044      30,662      31,276      31,925      32,575      33,254      34,682      35,413      36,164      36,880      37,668      38,475      39,303      40,071
19 ASSISTANT IV 225         25,080      25,565      26,247      26,764      27,484      28,031      28,801      29,383      30,187      30,805      31,418      32,065      32,708      33,387      34,067      34,778      36,272      37,037      37,823      38,572      39,397      40,241      41,108      41,912
