P07   SD_of_Philadelphia_2021-2024.pdf   page 142
title          : * * * * * * Demonstration Teacher Bachelor’s or Equivalent Master’s or Equivalent Step 9/1/20 9/1/21
employee_group : (not labelled - SOM endpoint was down)
cells          : 88
Vision agree   : 0.489

step                        9/1/20      9/1/21      9/1/22      9/1/23
----------------------------------------------------------------------
01                          49,881      51,253      52,919      54,506
02                          52,395      53,836      55,586      57,253
03                          56,909      58,474      60,374      62,185
04                          60,379      62,039      64,056      65,977
05                          63,587      65,336      67,459      69,483
06                          66,450      68,278      70,497      72,612
07                          69,402      71,310      73,628      75,836
08                          72,160      74,144      76,554      78,851
09                          75,027      77,091      79,596      81,984
10                          78,010      80,155      82,760      85,243
11                          81,110      83,341      86,049      88,631
