P14   Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf   page 344
title          : PAY SCALE GROUP PAY SCALE LEVEL (Req. Pts.)** 1 2 * 3 4 5 6 7 8 9 10
employee_group : (not labelled - SOM endpoint was down)
cells          : 484
Vision agree   : 0.884

step                                     FINAL 2014-2015      PREPARATION           SALARY        (L) TABLE          (2% and              4%)
---------------------------------------------------------------------------------------------------------------------------------------------
20 C Basis                       53,115           42,207           42,207           42,941           45,155           45,625           47,036
                               7,848.10         5,473.48         5,763.43         6,041.14         6,326.19         6,617.36         6,898.74
(Minimum) B Basis                57,541           45,725           45,725           46,520           48,918           49,427           50,956
A Basis                          94,177           65,682           69,161           72,494           75,914           79,408           82,785
21 C Basis                       55,443           42,207           42,574           44,249           46,004           47,713           49,525
(+ 14 points) B Basi             60,063           45,725           46,122           47,936           49,837           51,689           53,652
22 C Basis                       58,322           42,574           44,318           46,290           48,160           50,133           52,014
(+ 28 points) B Basi             63,182           46,122           48,011           50,148           52,173           54,310           56,348
23 C Basis                       61,419           44,283           46,290           48,297           50,454           52,530           54,594
(+ 42 points) B Basi             66,537           47,974           50,148           52,322           54,658           56,907           59,144
24 C Basis                       64,412           45,981           48,160           50,454           52,621           54,881           57,117
(+ 56 points) B Basi             69,780           49,812           52,173           54,658           57,007           59,454           61,877
25 C Basis                       67,463           47,747           50,179           52,530           54,892           57,290           59,687
(+ 70 points) B Basi             73,085           51,726           54,360           56,907           59,467           62,064           64,660
26 C Basis                       70,468           49,525           52,025           54,594           57,117           59,698           62,175
(+ 84 points) B Basi             76,340           53,652           56,360           59,144           61,877           64,673           67,357
27 C Basis                       73,576           51,314           54,032           56,636           59,308           62,038           64,676
(+ 98 points) B Basi             79,707           55,590           58,535           61,355           64,250           67,208           70,065
(continued) C Basis              73,920           74,241           74,562           74,895                                                   
