P24   Cleveland_Teachers_Union_Contract_2021-2024.pdf   page 163
title          : (none)
employee_group : (not labelled - SOM endpoint was down)
cells          : 102
Vision agree   : 0.618

step                    2021-2022 BA  2021-2022 MA  2022-2023 BA  2022-2023 MA  2023-2024 BA  2023-2024 MA
----------------------------------------------------------------------------------------------------------
Step 1                        36,045        40,950        37,126        42,178        38,669        43,022
Step 2                        37,415        42,905        38,276        43,157        39,583        44,231
Step 3                        37,732        43,038        38,580        43,636        41,902        46,451
Step 4                        39,192        44,037        40,383        44,626        42,539        47,435
Step 5                        40,490        45,737        41,638        46,749        44,514        49,477
Step 6                        42,078        45,767        43,164        48,370        48,085        53,439
Step 7                        45,713        50,175        47,514        52,731        49,200        54,573
Step 8                        48,596        53,624        50,054        55,233        51,055        56,337
Step 9                        50,511        55,558        52,027        57,225        53,067        58,369
Step 10                       51,656        56,714        53,205        58,415        54,269        59,584
Step 11                       53,193        58,272        54,789        60,020        55,885        61,221
Step 12                       54,696        59,793        56,337        61,586        57,464        62,818
Step 13                       56,791        61,901        58,495        63,758        59,665        65,033
Step 14                       57,803        62,925        59,537        64,813        60,727        66,109
Step 15                       57,803        62,925        59,537        64,813        60,727        66,109
Step 16                       57,928        63,052        59,666        64,944        60,859        66,243
Step 17                       57,928        63,052        59,666        64,944        60,859        66,243
