P27   ATF-Negotiated-Agreement_2018-19.pdf   page 77
title          : Level 1 Level 2 Level 3
employee_group : (not labelled - SOM endpoint was down)
cells          : 270
Vision agree   : 0.885

step                            MA       Ph.D.
----------------------------------------------
1                           54,000      55,620
2                           54,001      55,678
3                           54,002      55,736
4                           54,003      55,794
5                           54,004      55,852
6                           54,005      55,910
7                           54,006      55,968
8                           54,007      56,026
9                           54,008      56,084
10                          54,009      56,142
11                          54,010      56,200
12                          54,011      56,258
13                          54,012      56,316
14                          54,013      56,374
15                          54,014      56,432
16                          54,015      56,490
17                          55,255      56,548
18                          55,256      56,606
19                          55,257      56,664
20                          55,258      56,914
21                          55,259      57,164
22                          55,260      57,414
23                          55,261      57,664
24                          55,262      57,914
25                          55,263      58,164
26                          55,264      58,414
27                          55,265      58,664
28                          57,800      58,914
29                          59,610      59,914
30                          61,415      61,714
31                          63,225      63,514
32                          64,490      65,314
33                          64,675      66,834
34                          64,860      66,884
35                          65,045      66,934
36                          65,230      66,984
37                          65,415      67,034
38                          65,600      67,084
39                          65,785      67,134
40                          65,970      67,184
41                          68,540      68,684
42                          68,541      68,734
43                          68,542      68,784
44                          68,543      68,834
45                          68,544      68,884
