# P07 | SD_of_Philadelphia_2021-2024.pdf | page 142
# title: * * * * * * Demonstration Teacher Bachelor’s or Equivalent Master’s or Equivalent Step 9/1/20 9/1/21 9/1/22 9/1/23 Step 9/1/20 9/1/21 9/1/22 9/1/23
# cells: 88 | previously shown: 44 | vision_agreement: 0.489
step,9/1/20,9/1/21,9/1/22,9/1/23,9/1/20,9/1/21,9/1/22,9/1/23
01,48060.0,49381.0,50986.0,52516.0,49881.0,51253.0,52919.0,54506.0
02,50662.0,52055.0,53747.0,55359.0,52395.0,53836.0,55586.0,57253.0
03,54653.0,56156.0,57981.0,59721.0,56909.0,58474.0,60374.0,62185.0
04,58123.0,59722.0,61663.0,63513.0,60379.0,62039.0,64056.0,65977.0
05,61333.0,63020.0,65068.0,67020.0,63587.0,65336.0,67459.0,69483.0
06,64195.0,65960.0,68104.0,70147.0,66450.0,68278.0,70497.0,72612.0
07,67058.0,68902.0,71141.0,73275.0,69402.0,71310.0,73628.0,75836.0
08,68282.0,70160.0,72440.0,74614.0,72160.0,74144.0,76554.0,78851.0
09,69529.0,71441.0,73763.0,75976.0,75027.0,77091.0,79596.0,81984.0
10,70797.0,72744.0,75109.0,77362.0,78010.0,80155.0,82760.0,85243.0
11,72090.0,74072.0,76480.0,78774.0,81110.0,83341.0,86049.0,88631.0
