# P11 | Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf | page 402
"# title: t‐UTLACollectiveBargainingAgreement,ArticlesXIV,XV,andAppendixEforrulesandrequirementsregardingsalary, including,butnotlimitedto: rating‐in,payscalele"
# cells: 300 | previously shown: 72 | vision_agreement: 0.898
step,1,,2,,3,,4,,5,
10D E basis,3608.94,43307.0,3809.7,45716.0,4016.15,48194.0,4239.69,50876.0,4460.92,53531.0
B basis,3408.43,40901.0,3598.04,43176.0,3793.04,45516.0,4004.18,48050.0,4213.21,50559.0
C basis,3146.29,37755.0,3321.27,39855.0,3501.25,42015.0,3696.13,44354.0,3889.05,46669.0
11D E basis,3710.53,44526.0,3918.03,47016.0,4127.97,49536.0,4349.21,52191.0,4586.47,55038.0
B basis,3504.36,42052.0,3700.4,44405.0,3898.61,46783.0,4107.62,49291.0,4331.66,51980.0
C basis,3234.79,38817.0,3415.75,40989.0,3598.73,43185.0,3791.66,45500.0,3998.44,47981.0
12D E basis,3809.7,45716.0,4016.15,48194.0,4239.69,50876.0,4460.92,53531.0,4714.23,56571.0
B basis,3598.04,43176.0,3793.04,45516.0,4004.18,48050.0,4213.21,50559.0,4452.35,53428.0
C basis,3321.27,39855.0,3501.25,42015.0,3696.13,44354.0,3889.05,46669.0,4109.87,49318.0
13D E basis,3918.03,47016.0,4127.97,49536.0,4349.21,52191.0,4586.47,55038.0,4848.84,58186.0
B basis,3700.4,44405.0,3898.61,46783.0,4107.62,49291.0,4331.66,51980.0,4579.47,54954.0
C basis,3415.75,40989.0,3598.73,43185.0,3791.66,45500.0,3998.44,47981.0,4227.16,50726.0
14D E basis,4016.15,48194.0,4239.69,50876.0,4460.92,53531.0,4714.23,56571.0,4978.8,59746.0
B basis,3793.04,45516.0,4004.18,48050.0,4213.21,50559.0,4452.35,53428.0,4702.22,56427.0
C basis,3501.25,42015.0,3696.13,44354.0,3889.05,46669.0,4109.87,49318.0,4340.53,52086.0
15D E basis,4127.97,49536.0,4349.21,52191.0,4586.47,55038.0,4848.84,58186.0,5113.53,61362.0
B basis,3898.61,46783.0,4107.62,49291.0,4331.66,51980.0,4579.47,54954.0,4829.34,57952.0
C basis,3598.73,43185.0,3791.66,45500.0,3998.44,47981.0,4227.16,50726.0,4457.91,53495.0
16D E basis,4239.69,50876.0,4460.92,53531.0,4714.23,56571.0,4978.8,59746.0,5256.06,63073.0
B basis,4004.18,48050.0,4213.21,50559.0,4452.35,53428.0,4702.22,56427.0,4963.97,59568.0
C basis,3696.13,44354.0,3889.05,46669.0,4109.87,49318.0,4340.53,52086.0,4582.21,54987.0
17D E basis,4349.21,52191.0,4586.47,55038.0,4848.84,58186.0,5113.53,61362.0,5404.37,64852.0
B basis,4107.62,49291.0,4331.66,51980.0,4579.47,54954.0,4829.34,57952.0,5104.08,61249.0
C basis,3791.66,45500.0,3998.44,47981.0,4227.16,50726.0,4457.91,53495.0,4711.47,56538.0
18D E basis,4460.92,53531.0,4714.23,56571.0,4978.8,59746.0,5256.06,63073.0,5553.77,66645.0
B basis,4213.21,50559.0,4452.35,53428.0,4702.22,56427.0,4963.97,59568.0,5245.14,62942.0
C basis,3889.05,46669.0,4109.87,49318.0,4340.53,52086.0,4582.21,54987.0,4841.73,58101.0
19D E basis,4586.47,55038.0,4848.84,58186.0,5113.53,61362.0,5404.37,64852.0,5699.67,68396.0
B basis,4331.66,51980.0,4579.47,54954.0,4829.34,57952.0,5104.08,61249.0,5383.09,64597.0
C basis,3998.44,47981.0,4227.16,50726.0,4457.91,53495.0,4711.47,56538.0,4968.96,59628.0
