# P14 | Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf | page 344
# title: PAY SCALE GROUP PAY SCALE LEVEL (Req. Pts.)** 1 2 * 3 4 5 6 7 8 9 10
# cells: 484 | previously shown: 130 | vision_agreement: 0.884
step,,FINAL 2014-2015,PREPARATION,SALARY,(L) TABLE,(2% and,4%),,,
20 C Basis,42207.0,42207.0,42207.0,42941.0,45155.0,45625.0,47036.0,48619.0,50855.0,53115.0
,3517.28,3517.28,3517.28,3578.44,3762.91,3802.1,3919.66,4051.55,4237.93,4426.22
(Minimum) B Basis,45725.0,45725.0,45725.0,46520.0,48918.0,49427.0,50956.0,52670.0,55093.0,57541.0
,3810.38,3810.38,3810.38,3876.65,4076.48,4118.93,4246.3,4389.17,4591.1,4795.07
A Basis,54025.0,54025.0,54025.0,54965.0,57798.0,58400.0,60206.0,62232.0,65095.0,67987.0
,4502.11,4502.11,4502.11,4580.41,4816.53,4866.68,5017.16,5185.99,5424.55,5665.56
21 C Basis,42207.0,42207.0,42574.0,44249.0,46004.0,47713.0,49525.0,51314.0,53069.0,55443.0
,3517.28,3517.28,3547.86,3687.4,3833.64,3976.05,4127.06,4276.16,4422.4,4620.24
(+ 14 points) B Basis,45725.0,45725.0,46122.0,47936.0,49837.0,51689.0,53652.0,55590.0,57491.0,60063.0
,3810.38,3810.38,3843.51,3994.69,4153.1,4307.39,4470.99,4632.51,4790.93,5005.27
A Basis,54025.0,54025.0,54495.0,56638.0,58885.0,61072.0,63392.0,65682.0,67928.0,70967.0
,4502.11,4502.11,4541.26,4719.87,4907.06,5089.34,5282.63,5473.48,5660.67,5913.91
22 C Basis,42207.0,42574.0,44318.0,46290.0,48160.0,50133.0,52014.0,54032.0,55925.0,58322.0
,3517.28,3547.86,3693.13,3857.54,4013.32,4177.72,4334.47,4502.68,4660.39,4860.15
(+ 28 points) B Basis,45725.0,46122.0,48011.0,50148.0,52173.0,54310.0,56348.0,58535.0,60585.0,63182.0
,3810.38,3843.51,4000.9,4178.99,4347.76,4525.86,4695.67,4877.91,5048.76,5265.17
A Basis,54025.0,54495.0,56727.0,59252.0,61645.0,64170.0,66577.0,69161.0,71584.0,74652.0
,4502.11,4541.26,4727.21,4937.65,5137.05,5347.48,5548.11,5763.43,5965.31,6220.99
23 C Basis,42574.0,44283.0,46290.0,48297.0,50454.0,52530.0,54594.0,56636.0,58712.0,61419.0
,3547.86,3690.27,3857.54,4024.79,4204.48,4377.47,4549.52,4719.65,4892.64,5118.21
(+ 42 points) B Basis,46122.0,47974.0,50148.0,52322.0,54658.0,56907.0,59144.0,61355.0,63604.0,66537.0
,3843.51,3997.8,4178.99,4360.19,4554.86,4742.28,4928.65,5112.95,5300.37,5544.72
A Basis,54495.0,56683.0,59252.0,61821.0,64581.0,67238.0,69880.0,72494.0,75151.0,78616.0
,4541.26,4723.55,4937.65,5151.73,5381.73,5603.17,5823.37,6041.14,6262.59,6551.3
24 C Basis,44283.0,45981.0,48160.0,50454.0,52621.0,54881.0,57117.0,59285.0,61602.0,64412.0
,3690.27,3831.72,4013.32,4204.48,4385.12,4573.41,4759.79,4940.43,5133.5,5367.67
(+ 56 points) B Basis,47974.0,49812.0,52173.0,54658.0,57007.0,59454.0,61877.0,64226.0,66736.0,69780.0
,3997.8,4151.03,4347.76,4554.86,4750.55,4954.53,5156.45,5352.14,5561.3,5814.97
A Basis,56683.0,58855.0,61645.0,64581.0,67355.0,70248.0,73110.0,75885.0,78851.0,82447.0
,4723.55,4904.61,5137.05,5381.73,5612.95,5853.96,6092.52,6323.75,6570.88,6870.61
25 C Basis,45820.0,47747.0,50179.0,52530.0,54892.0,57290.0,59687.0,62003.0,64401.0,67463.0
,3818.35,3978.91,4181.55,4377.47,4574.37,4774.13,4973.88,5166.95,5366.71,5621.9
(+ 70 points) B Basis,49638.0,51726.0,54360.0,56907.0,59467.0,62064.0,64660.0,67170.0,69767.0,73085.0
,4136.54,4310.5,4530.0,4742.28,4955.57,5171.96,5388.37,5597.54,5813.94,6090.39
A Basis,58650.0,61116.0,64228.0,67238.0,70262.0,73331.0,76399.0,79364.0,82433.0,86352.0
,4887.47,5093.0,5352.37,5603.17,5855.19,6110.88,6366.57,6613.7,6869.39,7196.04
26 C Basis,47644.0,49525.0,52025.0,54594.0,57117.0,59698.0,62175.0,64664.0,67233.0,70468.0
