# P16 | Pittsburgh_10-15.pdf | page 28
"# title: Master's Degree, Master's Equivalent, Bachelor's + 30 Credits"
# cells: 140 | previously shown: 70 | vision_agreement: n/a
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,33690.0,34190.0,35190.0,35690.0,36190.0,36190.0,15580.0,31940.0,32440.0,32940.0,33440.0,33940.0,34440.0,14240.0
2-,36780.0,37780.0,38280.0,38780.0,39280.0,39280.0,13940.0,35030.0,35530.0,36030.0,36530.0,37030.0,37530.0,12500.0
3-,39870.0,40370.0,41370.0,41870.0,42370.0,42370.0,12290.0,38120.0,38620.0,39120.0,39620.0,40120.0,40620.0,10850.0
4-,44100.0,44600.0,45600.0,46100.0,46600.0,46600.0,9510.0,41210.0,41710.0,42210.0,42710.0,43210.0,43710.0,9200.0
5-,45440.0,45940.0,46940.0,47440.0,47940.0,47940.0,11970.0,42450.0,42950.0,43450.0,43950.0,44450.0,44950.0,11770.0
6-,46770.0,47270.0,48270.0,48770.0,49270.0,49270.0,10640.0,43680.0,44180.0,44680.0,45180.0,45680.0,46180.0,10540.0
7-,48220.0,48720.0,49720.0,50220.0,50720.0,50720.0,9190.0,45030.0,45530.0,46030.0,46530.0,47030.0,47530.0,9190.0
8-,49660.0,50160.0,51160.0,51660.0,52160.0,52160.0,7750.0,46470.0,46970.0,47470.0,47970.0,48470.0,48970.0,7750.0
9-,51110.0,51610.0,52610.0,53110.0,53610.0,53610.0,6300.0,47910.0,48410.0,48910.0,49410.0,49910.0,50410.0,6310.0
10-,54910.0,55410.0,56410.0,56910.0,57410.0,57410.0,2500.0,51720.0,52220.0,52720.0,53220.0,53720.0,54220.0,2500.0
